category_id,category_name,characteristic,frequency,total_items_in_category
793285271,Шины пневматические для сельскохозяйственных машин,Тип: конструкции пневматических шин диагональная вид,20,1139
793285271,Шины пневматические для сельскохозяйственных машин,Категория: использования ведущего колеса назначение тра,18,1139
793285271,Шины пневматические для сельскохозяйственных машин,Тип: конструкции диагональная вид продукции товар,17,1139
793285271,Шины пневматические для сельскохозяйственных машин,Ос: ти 8pr способ герметизации камерны,14,1139
793285271,Шины пневматические для сельскохозяйственных машин,Характеристика: индия,13,1139
793285271,Шины пневматические для сельскохозяйственных машин,Технические параметры: 2а,12,1139
793285271,Шины пневматические для сельскохозяйственных машин,Технические параметры: китай,12,1139
793285271,Шины пневматические для сельскохозяйственных машин,Ос: об поставки товара по заявке тип конс,11,1139
793285271,Шины пневматические для сельскохозяйственных машин,Категория: использования ведущего колеса номинальная ширин,11,1139
793285271,Шины пневматические для сельскохозяйственных машин,Категория: использования несущего колеса наличие шипов,9,1139
793285271,Шины пневматические для сельскохозяйственных машин,Объем: беларусь,7,1139
793286151,Шины пневматические для легкового автомобиля,Характеристика: россия,1803,24266
793286151,Шины пневматические для легкового автомобиля,Ос: сия,1792,24266
793286151,Шины пневматические для легкового автомобиля,Характеристика: runflat,1082,24266
793286151,Шины пневматические для легкового автомобиля,Да: номинальная ширина профиля,997,24266
793286151,Шины пневматические для легкового автомобиля,Категория: использования шины зимняя назначение пневматиче,975,24266
793286151,Шины пневматические для легкового автомобиля,Нет: категория использования шины,968,24266
793286151,Шины пневматические для легкового автомобиля,Ос: об герметизации шины бескамерные тип,933,24266
793286151,Шины пневматические для легкового автомобиля,Ос: ти и изделия крепежные для ремонта шин и,425,24266
793286151,Шины пневматические для легкового автомобиля,Вид: шин покрышек и камер резиновых шины пневматичес,422,24266
793286151,Шины пневматические для легкового автомобиля,Характеристика: xl,402,24266
793286151,Шины пневматические для легкового автомобиля,Технические параметры: китай,369,24266
793286151,Шины пневматические для легкового автомобиля,Вид: ы запасных частей для транспортных средств коле,327,24266
793286151,Шины пневматические для легкового автомобиля,Вид: транспортные средства запасные части вид шин,326,24266
793286151,Шины пневматические для легкового автомобиля,Вид: продукции товары вид товаров транспортные ср,267,24266
793286151,Шины пневматические для легкового автомобиля,Характеристика: ice,256,24266
793286151,Шины пневматические для легкового автомобиля,Характеристика: nordman,240,24266
793286151,Шины пневматические для легкового автомобиля,Характеристика: suv,193,24266
793286151,Шины пневматические для легкового автомобиля,Характеристика: nokian,178,24266
793286151,Шины пневматические для легкового автомобиля,Характеристика: корея,170,24266
793286151,Шины пневматические для легкового автомобиля,Модель: nordman,158,24266
793360561,Шины пневматические для грузовых автомобилей,Вид: шин покрышек и камер резиновых шины пневматичес,402,5905
793360561,Шины пневматические для грузовых автомобилей,Вид: ы шин пневматических для грузовых автомобилей авто,371,5905
793360561,Шины пневматические для грузовых автомобилей,Характеристика: россия,361,5905
793360561,Шины пневматические для грузовых автомобилей,Ос: сия,334,5905
793360561,Шины пневматические для грузовых автомобилей,Ос: ти и изделия крепежные для ремонта шин и,323,5905
793360561,Шины пневматические для грузовых автомобилей,Вид: транспортные средства запасные части вид шин,262,5905
793360561,Шины пневматические для грузовых автомобилей,Вид: продукции товары вид товаров транспортные ср,260,5905
793360561,Шины пневматические для грузовых автомобилей,Вид: ы запасных частей для транспортных средств коле,230,5905
793360561,Шины пневматические для грузовых автомобилей,Ос: об герметизации шины бескамерная тип,214,5905
793360561,Шины пневматические для грузовых автомобилей,Тип: грузовых шин универсальные тип конструкции р,206,5905
793360561,Шины пневматические для грузовых автомобилей,Технические параметры: китай,128,5905
793360561,Шины пневматические для грузовых автомобилей,Нет: номинальная ширина профиля,118,5905
793360561,Шины пневматические для грузовых автомобилей,Ос: ти l категория использования шины,47,5905
793360561,Шины пневматические для грузовых автомобилей,Ос: и тип конструкции радиальная цельноме,33,5905
793360561,Шины пневматические для грузовых автомобилей,Категория: использования шины всесезонные назначение шины,29,5905
793360561,Шины пневматические для грузовых автомобилей,Категория: использования шины всесезонная наличие логотипа,28,5905
793360561,Шины пневматические для грузовых автомобилей,Материал: ов и запасных частей для них,28,5905
793360561,Шины пневматические для грузовых автомобилей,Ос: тавки товара по заявке тип грузовых ш,26,5905
793360561,Шины пневматические для грузовых автомобилей,Тип: конструкции радиальная вид продукции товары,21,5905
793360561,Шины пневматические для грузовых автомобилей,Тип: рисунка дорожный вид продукции товары вид то,20,5905
793410132,Шины пневматические для мотоциклов,Технические параметры: китай,25,311
793410132,Шины пневматические для мотоциклов,Вид: шины покрышки и камеры резиновые вид транспортные,16,311
793410132,Шины пневматические для мотоциклов,Характеристика: kenda,12,311
793410132,Шины пневматические для мотоциклов,Ос: ти и изделия крепежные для ремонта шин и,10,311
793410132,Шины пневматические для мотоциклов,Вид: товаров транспортные средства вид продукции,10,311
793410132,Шины пневматические для мотоциклов,Вид: ы запасных частей для транспортных средств коле,10,311
793410132,Шины пневматические для мотоциклов,Характеристика: tr4,10,311
793410132,Шины пневматические для мотоциклов,Модель: mitas,10,311
793410132,Шины пневматические для мотоциклов,Характеристика: япония,8,311
793410132,Шины пневматические для мотоциклов,Характеристика: mitas,7,311
793410132,Шины пневматические для мотоциклов,Технические параметры: резина,5,311
793410132,Шины пневматические для мотоциклов,Ос: сия,5,311
793410132,Шины пневматические для мотоциклов,Характеристика: россия,5,311
793410132,Шины пневматические для мотоциклов,Вес: германия,4,311
793410132,Шины пневматические для мотоциклов,Характеристика: battlax,4,311
793410132,Шины пневматические для мотоциклов,Характеристика: geomax,4,311
793410132,Шины пневматические для мотоциклов,Модель: dunlop,4,311
793410132,Шины пневматические для мотоциклов,Характеристика: dunlop,4,311
793410132,Шины пневматические для мотоциклов,Модель: kenda,3,311
793410132,Шины пневматические для мотоциклов,Характеристика: 4 м,3,311
793284937,Шины сплошные и полупневматические,Ос: ти и изделия крепежные для ремонта шин и,9,111
793284937,Шины сплошные и полупневматические,Вид: шин покрышек и камер резиновых шины сплошные и,9,111
793284937,Шины сплошные и полупневматические,Вид: ы запасных частей для транспортных средств коле,8,111
793284937,Шины сплошные и полупневматические,Вид: транспортные средства запасные части вид шин,8,111
793284937,Шины сплошные и полупневматические,Вид: шины сплошная цельнолитая индекс нагрузки,6,111
793284937,Шины сплошные и полупневматические,Характеристика: std,5,111
793284937,Шины сплошные и полупневматические,Характеристика: bkt,4,111
793284937,Шины сплошные и полупневматические,Характеристика: индия,4,111
793284937,Шины сплошные и полупневматические,Вид: продукции товары вид товаров транспортные ср,4,111
793284937,Шины сплошные и полупневматические,Тип: конструкции полупневматических шин диагональные,3,111
793284937,Шины сплошные и полупневматические,Характеристика: maglift,3,111
793284937,Шины сплошные и полупневматические,Размер: 8 дюйм,2,111
793284937,Шины сплошные и полупневматические,Ос: ть всесезонная способ герметизации ши,2,111
793284937,Шины сплошные и полупневматические,Характеристика: optima,2,111
793284937,Шины сплошные и полупневматические,Модель: optima,2,111
793284937,Шины сплошные и полупневматические,Тип: рисунка индустриальный вид товаров транспорт,1,111
793284937,Шины сплошные и полупневматические,Ос: ти а5 исполнение цельнолитой шины,1,111
793284937,Шины сплошные и полупневматические,Вид: шины покрышки и камеры резиновые виды запасных час,1,111
793284937,Шины сплошные и полупневматические,Характеристика: run,1,111
793284937,Шины сплошные и полупневматические,Характеристика: sottozero,1,111
793360559,Шины пневматические для автобусов,Вид: шин покрышек и камер резиновых шины пневматичес,58,499
793360559,Шины пневматические для автобусов,Вид: ы шин пневматических для грузовых автомобилей авто,39,499
793360559,Шины пневматические для автобусов,Ос: ти и изделия крепежные для ремонта шин и,34,499
793360559,Шины пневматические для автобусов,Вид: товаров транспортные средства вид транспортные,32,499
793360559,Шины пневматические для автобусов,Ос: об герметизации шины бескамерная тип,32,499
793360559,Шины пневматические для автобусов,Характеристика: россия,29,499
793360559,Шины пневматические для автобусов,Ос: сия,29,499
793360559,Шины пневматические для автобусов,Тип: конструкции радиальная вид продукции товары,25,499
793360559,Шины пневматические для автобусов,Да: номинальная ширина профиля,24,499
793360559,Шины пневматические для автобусов,Категория: использования шины зимняя назначение шины ле,18,499
793360559,Шины пневматические для автобусов,Технические параметры: китай,12,499
793360559,Шины пневматические для автобусов,Вид: транспортные средства запасные части вид шин,10,499
793360559,Шины пневматические для автобусов,Вид: ы запасных частей для транспортных средств коле,10,499
793360559,Шины пневматические для автобусов,Характеристика: van,6,499
793360559,Шины пневматические для автобусов,Характеристика: winter,5,499
793360559,Шины пневматические для автобусов,Материал: ов и запасных частей для них,5,499
793360559,Шины пневматические для автобусов,Ос: тавки товара по заявке тип конструкци,4,499
793360559,Шины пневматические для автобусов,Характеристика: grip,4,499
793360559,Шины пневматические для автобусов,Характеристика: green-max,4,499
793360559,Шины пневматические для автобусов,Категория: использования шины дорожная категория скорости,4,499
793410130,Шины пневматические для картов,Технические параметры: китай,8,96
793410130,Шины пневматические для картов,Характеристика: bxdxd,7,96
793410130,Шины пневматические для картов,Характеристика: россия,5,96
793410130,Шины пневматические для картов,Ос: сия,5,96
793410130,Шины пневматические для картов,Вид: шин покрышек и камер резиновых шины пневматичес,5,96
793410130,Шины пневматические для картов,Ос: ти и изделия крепежные для ремонта шин и,4,96
793410130,Шины пневматические для картов,Размер: 5 дюйм,4,96
793410130,Шины пневматические для картов,Вид: транспортные средства запасные части вид шин,3,96
793410130,Шины пневматические для картов,Вид: ы запасных частей для транспортных средств коле,3,96
793410130,Шины пневматические для картов,Характеристика: ekka,3,96
793410130,Шины пневматические для картов,Вид: продукции товары вид товаров транспортные ср,3,96
793410130,Шины пневматические для картов,Ос: ть летняя тип tl тип рисунка проте,2,96
793410130,Шины пневматические для картов,Технические параметры: 2 в,2,96
793410130,Шины пневматические для картов,Тип: tl тип рисунка протектора с глубоким протекторо,2,96
793410130,Шины пневматические для картов,Объем: польша,1,96
793410130,Шины пневматические для картов,Модель: at225,1,96
793410130,Шины пневматические для картов,Вес: 225 г,1,96
793410130,Шины пневматические для картов,Ос: ть летняя вид продукции товары вид,1,96
793410130,Шины пневматические для картов,Характеристика: at225,1,96
793410130,Шины пневматические для картов,Назначение: для каретных колес сезонность летняя вид продук,1,96
793410128,Шины (покрышки) и камеры для кресел-колясок,Технические параметры: резина,5,67
793410128,Шины (покрышки) и камеры для кресел-колясок,Размер: 24,5,67
793410128,Шины (покрышки) и камеры для кресел-колясок,Технические параметры: китай,4,67
793410128,Шины (покрышки) и камеры для кресел-колясок,Вес: германия,3,67
793410128,Шины (покрышки) и камеры для кресел-колясок,Цвет: черный,3,67
793410128,Шины (покрышки) и камеры для кресел-колясок,Характеристика: серый,2,67
793410128,Шины (покрышки) и камеры для кресел-колясок,Материал: нейлон назначение,2,67
793410128,Шины (покрышки) и камеры для кресел-колясок,Вид: шин покрышек и камер резиновых шины покрышки,2,67
793410128,Шины (покрышки) и камеры для кресел-колясок,Ос: ти и изделия крепежные для ремонта шин и,2,67
793410128,Шины (покрышки) и камеры для кресел-колясок,Вид: продукции товары вид товаров транспортные ср,2,67
793410128,Шины (покрышки) и камеры для кресел-колясок,Вид: транспортные средства запасные части вид шин,2,67
793410128,Шины (покрышки) и камеры для кресел-колясок,Вид: ы запасных частей для транспортных средств коле,2,67
793410128,Шины (покрышки) и камеры для кресел-колясок,Ос: сия,2,67
793410128,Шины (покрышки) и камеры для кресел-колясок,Характеристика: россия,2,67
793410128,Шины (покрышки) и камеры для кресел-колясок,Модель: 24,1,67
793410128,Шины (покрышки) и камеры для кресел-колясок,Характеристика: tpi,1,67
793410128,Шины (покрышки) и камеры для кресел-колясок,Цвет: серый размер,1,67
793410128,Шины (покрышки) и камеры для кресел-колясок,Характеристика: guard,1,67
793410128,Шины (покрышки) и камеры для кресел-колясок,Характеристика: smart,1,67
793410128,Шины (покрышки) и камеры для кресел-колясок,Назначение: инвалидная коляска цвет серый размер 24 дюйм,1,67
72095359,Одежда для взрослых форменная,Характеристика: россия,285,3277
72095359,Одежда для взрослых форменная,Ос: сия,246,3277
72095359,Одежда для взрослых форменная,Объем: хлопок,192,3277
72095359,Одежда для взрослых форменная,Характеристика: .м,169,3277
72095359,Одежда для взрослых форменная,Состав: ткани,144,3277
72095359,Одежда для взрослых форменная,Ос: лых форменная воротник отложной со ст,135,3277
72095359,Одежда для взрослых форменная,Объем: белый,115,3277
72095359,Одежда для взрослых форменная,Цвет: синий,94,3277
72095359,Одежда для взрослых форменная,Цвет: белый размер рост,86,3277
72095359,Одежда для взрослых форменная,Характеристика: шерсть,80,3277
72095359,Одежда для взрослых форменная,Вес: голубой,74,3277
72095359,Одежда для взрослых форменная,Цвет: черный,54,3277
72095359,Одежда для взрослых форменная,Ос: лых форменная модель сорочка мужская,49,3277
72095359,Одежда для взрослых форменная,Вид: рукава короткий силуэт приталенный с вытачка,42,3277
72095359,Одежда для взрослых форменная,Ос: ть мужской вид рукава короткий сил,42,3277
72095359,Одежда для взрослых форменная,Цвет: отделки,37,3277
72095359,Одежда для взрослых форменная,Ос: тав 65 - полиэфир 35 - хлопок цвет,35,3277
72095359,Одежда для взрослых форменная,Вид: рукава длинный цвет отделки синий модель,35,3277
72095359,Одежда для взрослых форменная,Ос: лых форменная назначение одежды форменно,23,3277
72095359,Одежда для взрослых форменная,Ос: лых форменная половая принадлежность,23,3277
72095360,Юбки женские,Цвет: синий,3,26
72095360,Юбки женские,Характеристика: шерсть,3,26
72095360,Юбки женские,Состав: ткани верха,3,26
72095360,Юбки женские,Ос: сия,2,26
72095360,Юбки женские,Ос: тав ткани верха 44 шерсть 54 полиэфир,2,26
72095360,Юбки женские,Характеристика: россия,2,26
72095360,Юбки женские,Цвет: темно-синий вид прод,1,26
72095360,Юбки женские,Цвет: темно-синий плотност,1,26
72095360,Юбки женские,Назначение: защита от общепроизводственных загрязнений плотнос,1,26
72095360,Юбки женские,Объем: хлопок,1,26
72095360,Юбки женские,Объем: белый,1,26
72095360,Юбки женские,Характеристика: .м,1,26
72095360,Юбки женские,Состав: ткани,1,26
72095360,Юбки женские,Цвет: белый отделка,1,26
72095360,Юбки женские,Вид: ы одежды включая форменную головных уборов одежд,1,26
72095360,Юбки женские,Цвет: темно-синий размер р,1,26
72095360,Юбки женские,Ос: тюмная состав ткани верха 44 шерсть 5,1,26
72095366,Жилеты для взрослых,Вид: ы одежды включая форменную головных уборов одежд,17,200
72095366,Жилеты для взрослых,Состав: ткани,14,200
72095366,Жилеты для взрослых,Ос: сия,13,200
72095366,Жилеты для взрослых,Характеристика: россия,13,200
72095366,Жилеты для взрослых,Технические параметры: красный,12,200
72095366,Жилеты для взрослых,Цвет: черный,11,200
72095366,Жилеты для взрослых,Объем: хлопок,10,200
72095366,Жилеты для взрослых,Цвет: сочетание бежевого и,10,200
72095366,Жилеты для взрослых,Тип: ткани супербандмастер смесовая цвет сочета,10,200
72095366,Жилеты для взрослых,Ос: обенности удлиненная спинка и кулиска,8,200
72095366,Жилеты для взрослых,Цвет: красный черный модел,8,200
72095366,Жилеты для взрослых,Ос: тав ткани 65 полиэфир 35 хлопок отд,8,200
72095366,Жилеты для взрослых,Ос: лых в составе комплекта костюма,6,200
72095366,Жилеты для взрослых,Состав: е комплекта,6,200
72095366,Жилеты для взрослых,Вид: защиты защита от механических воздействий истир,6,200
72095366,Жилеты для взрослых,Ос: лых назначение для защиты от общих пр,4,200
72095366,Жилеты для взрослых,Назначение: для защиты от общих производственных загрязнений и,4,200
72095366,Жилеты для взрослых,Размер: 48,4,200
72095366,Жилеты для взрослых,Материал: а половой признак,2,200
72095366,Жилеты для взрослых,Цвет: флуоресцентный оранж,2,200
72095367,Жакеты женские,Характеристика: .м,27,258
72095367,Жакеты женские,Состав: ткани,25,258
72095367,Жакеты женские,Объем: хлопок,24,258
72095367,Жакеты женские,Объем: белый,24,258
72095367,Жакеты женские,Цвет: белый отделка,24,258
72095367,Жакеты женские,Ос: тав ткани 65 полиэфир 35 хлопок цве,19,258
72095367,Жакеты женские,Вид: ы одежды включая форменную головных уборов одежд,17,258
72095367,Жакеты женские,Ос: сия,16,258
72095367,Жакеты женские,Характеристика: россия,16,258
72095367,Жакеты женские,Цвет: синий,12,258
72095367,Жакеты женские,Характеристика: шерсть,11,258
72095367,Жакеты женские,Назначение: защита об общепроизводственных загрязнений плотнос,10,258
72095367,Жакеты женские,Состав: ткани верха,8,258
72095367,Жакеты женские,Цвет: темно-синий вид прод,8,258
72095367,Жакеты женские,Ос: тюмная цвет темно-синий вид продукции,8,258
72095367,Жакеты женские,Ос: тюмная цвет темно-синий модель жак,4,258
72095367,Жакеты женские,Технические параметры: . в,2,258
72095367,Жакеты женские,Характеристика: 2 м,1,258
72095367,Жакеты женские,Размер: 46,1,258
72095367,Жакеты женские,Ос: тюмная состав ткани верха 44 шерсть 5,1,258
72095368,Халаты для взрослых,Вид: ы одежды включая форменную головных уборов одежд,58,396
72095368,Халаты для взрослых,Состав: ткани,44,396
72095368,Халаты для взрослых,Объем: хлопок,42,396
72095368,Халаты для взрослых,Объем: белый,35,396
72095368,Халаты для взрослых,Цвет: белый модель,25,396
72095368,Халаты для взрослых,Характеристика: россия,23,396
72095368,Халаты для взрослых,Ос: сия,18,396
72095368,Халаты для взрослых,Характеристика: .м,15,396
72095368,Халаты для взрослых,Цвет: синий,11,396
72095368,Халаты для взрослых,Цвет: белый вид продукции,11,396
72095368,Халаты для взрослых,Технические параметры: 35 в,9,396
72095368,Халаты для взрослых,Назначение: для защиты от общих производственных загрязнений п,7,396
72095368,Халаты для взрослых,Вес: голубой,6,396
72095368,Халаты для взрослых,Цвет: белый отделка,6,396
72095368,Халаты для взрослых,Ос: лых назначение для защиты от общих пр,5,396
72095368,Халаты для взрослых,Ос: тав ткани 65 полиэфир 35 вискоза ти,4,396
72095368,Халаты для взрослых,Цвет: бирюзовый модель,4,396
72095368,Халаты для взрослых,Тип: ткани трикотажного полотна смесовая цвет бел,4,396
72095368,Халаты для взрослых,Вид: а изделия халат полуприлегающего силуэта с рель,4,396
72095368,Халаты для взрослых,Материал: смесовая,4,396
72095369,Пиджаки мужские,Цвет: синий,9,59
72095369,Пиджаки мужские,Характеристика: шерсть,7,59
72095369,Пиджаки мужские,Характеристика: .м,7,59
72095369,Пиджаки мужские,Состав: ткани верха,7,59
72095369,Пиджаки мужские,Ос: сия,6,59
72095369,Пиджаки мужские,Характеристика: россия,6,59
72095369,Пиджаки мужские,Цвет: темно-синий вид прод,6,59
72095369,Пиджаки мужские,Объем: хлопок,2,59
72095369,Пиджаки мужские,Назначение: защита от общих производственных загрязнений разме,2,59
72095369,Пиджаки мужские,Цвет: темно-синий модель,2,59
72095369,Пиджаки мужские,Состав: ткани,2,59
72095369,Пиджаки мужские,Характеристика: lycra,2,59
72095369,Пиджаки мужские,Цвет: темно-синий карманы,1,59
72095370,Футболки трикотажные для взрослых,Объем: хлопок,469,1985
72095370,Футболки трикотажные для взрослых,Назначение: подходит как для работы так и для повседневного га,129,1985
72095370,Футболки трикотажные для взрослых,Цвет: синий,90,1985
72095370,Футболки трикотажные для взрослых,Характеристика: россия,81,1985
72095370,Футболки трикотажные для взрослых,Ос: сия,71,1985
72095370,Футболки трикотажные для взрослых,Вид: ы одежды включая форменную головных уборов одежд,71,1985
72095370,Футболки трикотажные для взрослых,Характеристика: серый,66,1985
72095370,Футболки трикотажные для взрослых,Цвет: черный,50,1985
72095370,Футболки трикотажные для взрослых,Объем: белый,38,1985
72095370,Футболки трикотажные для взрослых,Ос: лых назначение подходит как для работ,36,1985
72095370,Футболки трикотажные для взрослых,Цвет: а может быть рекомен,33,1985
72095370,Футболки трикотажные для взрослых,Характеристика: .м,31,1985
72095370,Футболки трикотажные для взрослых,Ос: лых застежка на 3 пуговицы область пр,24,1985
72095370,Футболки трикотажные для взрослых,Технические параметры: 2 в,20,1985
72095370,Футболки трикотажные для взрослых,Ос: лых вид продукции товары вид товаров,19,1985
72095370,Футболки трикотажные для взрослых,Технические параметры: красный,16,1985
72095370,Футболки трикотажные для взрослых,Ос: лых рукав короткий цвет васильковы,16,1985
72095370,Футболки трикотажные для взрослых,Цвет: серый вид продукции,16,1985
72095370,Футболки трикотажные для взрослых,Технические параметры: . в,15,1985
72095370,Футболки трикотажные для взрослых,Цвет: фисташковый плотност,15,1985
72095373,Плащи для взрослых,Цвет: синий,10,68
72095373,Плащи для взрослых,Технические параметры: пвх,9,68
72095373,Плащи для взрослых,Вес: 225 г,8,68
72095373,Плащи для взрослых,Вид: ы одежды включая форменную головных уборов одежд,6,68
72095373,Плащи для взрослых,Характеристика: россия,4,68
72095373,Плащи для взрослых,Да: плотность 225 гр м2 размер,4,68
72095373,Плащи для взрослых,Цвет: темно-синий модель,4,68
72095373,Плащи для взрослых,Наличие: назначение для защиты от во,3,68
72095373,Плащи для взрослых,Ос: лых капюшон наличие назначение для,3,68
72095373,Плащи для взрослых,Состав: ткани,3,68
72095373,Плащи для взрослых,Ос: лых застежка застежкой на двухзамкову,2,68
72095373,Плащи для взрослых,Ос: ейдон темно-синий,2,68
72095373,Плащи для взрослых,Да: материал полиэфир с пвх-пок,2,68
72095373,Плащи для взрослых,Цвет: темно-синий покрытие,2,68
72095373,Плащи для взрослых,Назначение: для защиты от воды покрытие пвх-покрытие с изна,2,68
72095373,Плащи для взрослых,Ос: обенности швы проклеены специальной л,1,68
72095373,Плащи для взрослых,Ос: ть 225 гр м2 виды одежды включая фор,1,68
