category_id,category_name,characteristic
793285271,Шины пневматические для сельскохозяйственных машин,продукции: Товары Вид товаров : Транспортные средст
793285271,Шины пневматические для сельскохозяйственных машин,Ширина: 0.15000 м Вид : Шины покрышки и камеры р
793285271,Шины пневматические для сельскохозяйственных машин,38 дюйм
793285271,Шины пневматические для сельскохозяйственных машин,88.40000 кг
793285271,Шины пневматические для сельскохозяйственных машин,Вес: 88.40000 кг Ширина шины : 15.50000 м Диа
793285271,Шины пневматические для сельскохозяйственных машин,Модель: Ф-2АД
793286151,Шины пневматические для легкового автомобиля,16.00000 дюйм
793286151,Шины пневматические для легкового автомобиля,215.00000 мм
793286151,Шины пневматические для легкового автомобиля,Модель: Nordman 7
793286151,Шины пневматические для легкового автомобиля,Номинальная: ширина профиля : 215.00000 мм Индекс
793286151,Шины пневматические для легкового автомобиля,Номинальное: отношение высоты профиля шины к ее
793286151,Шины пневматические для легкового автомобиля,Шины: пневматические для легкового автомобиля
793286151,Шины пневматические для легкового автомобиля,диаметр: обода : 16.00000 дюйм Индекс категории
793286151,Шины пневматические для легкового автомобиля,скорости: : Т Категория использования шины : зима
793286151,Шины пневматические для легкового автомобиля,ширине: 55.00000 % Номинальный посадочный диамет
793286151,Шины пневматические для легкового автомобиля,Зимняя: Шипы : Да Номинальная ширина профиля :
793286151,Шины пневматические для легкового автомобиля,Индекс: нагрузки : т Индекс категории скорости :
793286151,Шины пневматические для легкового автомобиля,Модель: Hakkapeliitta 9
793286151,Шины пневматические для легкового автомобиля,Наличие: шипов : 1 Размерность шины : 215 65r16
793286151,Шины пневматические для легкового автомобиля,Cargospeed: Winter Ш. СЕРБИЯ
793286151,Шины пневматические для легкового автомобиля,Модель: : Тайгер 235 65 16 R 115 113 C
793360561,Шины пневматические для грузовых автомобилей,16.00000 дюйм
793360561,Шины пневматические для грузовых автомобилей,Диаметр: 16.00000 дюйм Шипы : 0 Высота профиля : 
793360561,Шины пневматические для грузовых автомобилей,Индекс: скорости и нагрузки : 121 120N
793360561,Шины пневматические для грузовых автомобилей,Модель: Кама 218
793360561,Шины пневматические для грузовых автомобилей,Шины: пневматические для грузовых автомобилей
793360561,Шины пневматические для грузовых автомобилей,нагрузки: 121 120N Размерность : 225 75R16 Модель 
793360561,Шины пневматические для грузовых автомобилей,340.00000 мм
793360561,Шины пневматические для грузовых автомобилей,Высота: профиля : 80 % Размерность : 340 80-18
793360561,Шины пневматические для грузовых автомобилей,Модель: QH604
793360561,Шины пневматические для грузовых автомобилей,Рисунок: протектора : повышенной проходимости
793360561,Шины пневматические для грузовых автомобилей,225.00000 мм
793360561,Шины пневматические для грузовых автомобилей,Шипы: : 0 Высота профиля : 75 % Индекс
793360561,Шины пневматические для грузовых автомобилей,профиля: 75 % Индекс скорости и нагрузки : 104Q М
793360561,Шины пневматические для грузовых автомобилей,скорости: и нагрузки : 104Q Модель : Кама-219
793360561,Шины пневматические для грузовых автомобилей,37 кг
793410132,Шины пневматические для мотоциклов,18 дюйм
793410132,Шины пневматические для мотоциклов,21 мм
793410132,Шины пневматические для мотоциклов,Модель: Mitas XT-454 XT-434
793410132,Шины пневматические для мотоциклов,Шины: пневматические для мотоциклов Количество
793410132,Шины пневматические для мотоциклов,колеса: 18 дюйм Габаритные размеры задней покрыш
793410132,Шины пневматические для мотоциклов,передней: покрышки : 80 100-21 мм Модель : Mitas
793410132,Шины пневматические для мотоциклов,покрышки: 240 шт Количество шипов задней покрышки 
793410132,Шины пневматические для мотоциклов,покрышки: : 110 90-18 мм Габаритные размеры
793410132,Шины пневматические для мотоциклов,шипов: задней покрышки : 341 шт Диаметр заднего
793410132,Шины пневматические для мотоциклов,10 дюйм
793410132,Шины пневматические для мотоциклов,381 мм
793410132,Шины пневматические для мотоциклов,59 мм
793410132,Шины пневматические для мотоциклов,KENDA: K771 TT
793410132,Шины пневматические для мотоциклов,Модель: 2.50-10 (60 100-10) 33J KENDA K771 TT
793410132,Шины пневматические для мотоциклов,Применение: : Для установки на переднюю или заднюю
793284937,Шины сплошные и полупневматические,1090 М
793284937,Шины сплошные и полупневматические,1415 кг
793284937,Шины сплошные и полупневматические,8 дюйм
793284937,Шины сплошные и полупневматические,Вид: Шины покрышки и камеры резиновые Виды запасных час
793284937,Шины сплошные и полупневматические,Всесезонная: Способ герметизации шины : Бескамерные
793284937,Шины сплошные и полупневматические,Диагональные: Индекс нагрузки : 1090 Максимальная
793284937,Шины сплошные и полупневматические,Индустриальный: Вид товаров : Транспортные средства Вид
793284937,Шины сплошные и полупневматические,Модель: : Шина цельнолитая 5 00-8 BKT MAGLIFT
793284937,Шины сплошные и полупневматические,Сплошная: (Цельнолитая) Индекс скорости : А5
793284937,Шины сплошные и полупневматические,Тип: конструкции полупневматических шин :
793284937,Шины сплошные и полупневматические,19.00000 дюйм
793284937,Шины сплошные и полупневматические,Германия
793284937,Шины сплошные и полупневматические,Модель: 275 40R19 105V XL Winter SottoZero 3 Run Flat Герм
793284937,Шины сплошные и полупневматические,Радиус: 19.00000 дюйм Сезонность : Зимняя Способ
793284937,Шины сплошные и полупневматические,Тип: рисунка : Направленный Вид продукции :
793360559,Шины пневматические для автобусов,113.00000 М
793360559,Шины пневматические для автобусов,16.00000 дюйм
793360559,Шины пневматические для автобусов,215.00000 мм
793360559,Шины пневматические для автобусов,Вид: Шины покрышки и камеры резиновые Виды за
793360559,Шины пневматические для автобусов,Категория: использования шины : Зимняя Индекс
793360559,Шины пневматические для автобусов,Модель: Cargo Speed Winter СЕРБИЯ
793360559,Шины пневматические для автобусов,Наличие: шипов : Да Номинальная ширина профиля :
793360559,Шины пневматические для автобусов,Радиальная: Индекс категории скорости : R Способ
793360559,Шины пневматические для автобусов,Транспортные: средства Вид транспортные средства :
793360559,Шины пневматические для автобусов,Шины: пневматические для автобусов Назначение
793360559,Шины пневматические для автобусов,высоты: профиля шины к ее ширине : 75.00000 %
793360559,Шины пневматические для автобусов,SUV: Корея
793360559,Шины пневматические для автобусов,Корея
793360559,Шины пневматические для автобусов,Легкая: грузовая Наличие логотипа : Да Наличие
793360559,Шины пневматические для автобусов,Модель: WINGUARD WinSpike SUV Корея
793410130,Шины пневматические для картов,225 г
793410130,Шины пневматические для картов,250 кг
793410130,Шины пневматические для картов,27.00000 дюйм
793410130,Шины пневматические для картов,Вес: 225 г Модель : AT225 ПОЛЬША
793410130,Шины пневматические для картов,Вид: Шины покрышки и камеры резиновые Виды запасных час
793410130,Шины пневматические для картов,Вид: продукции : Товары Вид товаров :
793410130,Шины пневматические для картов,Максимальное: давление : 3.20000 бар Минимальное
793410130,Шины пневматические для картов,Назначение: : Для каретных колес Сезонность : Летняя
793410130,Шины пневматические для картов,Транспортные: средства Вид транспортные средства :
793410130,Шины пневматические для картов,Шины: пневматические для картов Диаметр колеса
793410130,Шины пневматические для картов,1.59000 кг
793410130,Шины пневматические для картов,10.00000 дюйм
793410130,Шины пневматические для картов,4.50000 дюйм
793410130,Шины пневматические для картов,Корея
793410130,Шины пневматические для картов,Модель: P319 Корея
793410128,Шины (покрышки) и камеры для кресел-колясок,2.80000 а
793410128,Шины (покрышки) и камеры для кресел-колясок,540 Г
793410128,Шины (покрышки) и камеры для кресел-колясок,610 мм
793410128,Шины (покрышки) и камеры для кресел-колясок,Внутренний: диаметр : 540 мм Высота : 610 мм
793410128,Шины (покрышки) и камеры для кресел-колясок,Германия
793410128,Шины (покрышки) и камеры для кресел-колясок,Материал: : резина Рекомендуемое давление :
793410128,Шины (покрышки) и камеры для кресел-колясок,Модель: 24 х1 -3 8 U 37-540 Германия
793410128,Шины (покрышки) и камеры для кресел-колясок,Шины: (покрышки) и камеры для кресел-колясок
793410128,Шины (покрышки) и камеры для кресел-колясок,давление: 2.80000 атмосфер (атм) Модель : 24 х1 -3
793410128,Шины (покрышки) и камеры для кресел-колясок,24 дюйм
793410128,Шины (покрышки) и камеры для кресел-колясок,60 кг
793410128,Шины (покрышки) и камеры для кресел-колясок,Защита: : Smart Guard Модель : Perfomance
793410128,Шины (покрышки) и камеры для кресел-колясок,Модель: Perfomance Германия
793410128,Шины (покрышки) и камеры для кресел-колясок,Назначение: : Инвалидная коляска Цвет : Серый Размер
793410128,Шины (покрышки) и камеры для кресел-колясок,Протектор: HS440 Рекомендуемое давление : 6.0-10.0 
72095359,Одежда для взрослых форменная,Модель: 3296
72095359,Одежда для взрослых форменная,Одежда: для взрослых форменная Назначение одежды
72095359,Одежда для взрослых форменная,Цвет: темно-синий Состав : 40% хлопок 30% поли
72095359,Одежда для взрослых форменная,куртка: Размер рост : 108 182-188 Ткань :
72095359,Одежда для взрослых форменная,полиэфир: 30% Lycra В составе комплекта (костюма)
72095359,Одежда для взрослых форменная,форменной: : защита от общих производственных
72095359,Одежда для взрослых форменная,180 г
72095359,Одежда для взрослых форменная,Модель: Сорочка с воротником «Поло» оранжевая р.
72095359,Одежда для взрослых форменная,воротником: «Поло» оранжевая р.54 182-188
72095359,Одежда для взрослых форменная,ткани: 180 г кв.м Половая принадлежность : мужс
72095359,Одежда для взрослых форменная,Материал: : шерсть ПАН. Модель : Джемпер мужской
72095359,Одежда для взрослых форменная,Размер: 54 Рост : 182-188 см Состав ткани : 30 шерсть 70 П
72095359,Одежда для взрослых форменная,взрослых: : Форменная Вид продукции : Товары Вид
72095359,Одежда для взрослых форменная,включая: форменную) головных уборов одежды
72095359,Одежда для взрослых форменная,форменный: с накладками черный
72095360,Юбки женские,Застежка: потайная молния Размер : 108 170 Состав 
72095360,Юбки женские,Модель: Юбка женская р.108 170 Россия
72095360,Юбки женские,Размер: 108 170 Состав ткани верха : 44 шерсть 54 полиэфир
72095360,Юбки женские,Россия
72095360,Юбки женские,Цвет: темно-синий Вид продукции : Товары Вид товаров : О
72095360,Юбки женские,Юбки: женские Застежка : потайная молния
72095360,Юбки женские,одежда: для взрослых : Юбка Модель : Юбка
72095360,Юбки женские,одежды: (включая форменную) головных уборов
72095360,Юбки женские,полиэфир: 2 эластан % Цвет : темно-синий Вид
72095360,Юбки женские,продукции: Товары Вид товаров : Одежда Виды одежды 
72095360,Юбки женские,170 В
72095360,Юбки женские,220 г
72095360,Юбки женские,Подкладка: : С механическим стретч-эффектом с
72095360,Юбки женские,Пояс: Пояс-кокетка Состав ткани верха : 44 шер
72095360,Юбки женские,Размер: рост : 92 170 Вид размера : Стандартный
72095366,Жилеты для взрослых,Жилеты: для взрослых Виды одежды (включая
72095366,Жилеты для взрослых,Модель: : Жилет мужской летний «Крит» р.48-50
72095366,Жилеты для взрослых,Половой: признак : Мужской Отделка : терракотовый
72095366,Жилеты для взрослых,Размер: 48-50 170-176 Тип ткани : «Супербандмастер» смесов
72095366,Жилеты для взрослых,Цвет: сочетание бежевого и коричневого Модель : Жилет му
72095366,Жилеты для взрослых,головных: уборов одежды специальной : Одежда для
72095366,Жилеты для взрослых,продукции: : Товары Вид товаров : Одежда Состав
72095366,Жилеты для взрослых,ткани: : 65 полиэфир 35 хлопок % Сигнальные
72095366,Жилеты для взрослых,Тип: ткани : «Супербандмастер» смесовая Цвет
72095366,Жилеты для взрослых,мужской: летний «Крит» р.64-66 182-188
72095366,Жилеты для взрослых,Отделка: терракотовый Размер : 48-50 182-188 Тип 
72095366,Жилеты для взрослых,Сигнальные: элементы : кант из световозвращающего
72095366,Жилеты для взрослых,взрослых: : Жилет Модель : Жилет мужской летний
72095366,Жилеты для взрослых,Жилет: флисовый «Снегирь»
72095366,Жилеты для взрослых,Жилеты: для взрослых Размер : 112-116 170-176
72095367,Жакеты женские,205 г
72095367,Жакеты женские,Жакеты: женские Назначение : Защита об
72095367,Жакеты женские,Модель: Жакет женский «Бьянка-2» Россия
72095367,Жакеты женские,Назначение: Защита об общепроизводственных загрязнен
72095367,Жакеты женские,Россия
72095367,Жакеты женские,Цвет: : белый отделка – бирюзовая тесьма Вид
72095367,Жакеты женские,общепроизводственных: загрязнений Размер рост : 88 158-164
72095367,Жакеты женские,одежда: для взрослых : Жакет Состав ткани : 65
72095367,Жакеты женские,одежды: (включая форменную) головных уборов
72095367,Жакеты женские,полиэфир: 35 хлопок % Пол : женский Плотность :
72095367,Жакеты женские,продукции: : Товары Вид товаров : Одежда Виды
72095367,Жакеты женские,Плотность: 205 гр м2 Пол : женский Размер рост : 96
72095367,Жакеты женские,головных: уборов одежды специальной : Одежда для
72095367,Жакеты женские,женский: Размер рост : 96 158-164 Состав ткани :
72095367,Жакеты женские,общепроизводственных: загрязнений Плотность : 205 гр м2 Пол :
72095368,Халаты для взрослых,142 г
72095368,Халаты для взрослых,Модель: : Халат женский белый из ткани бязь
72095368,Халаты для взрослых,Назначение: Для защиты от общих производственных загрязнений П
72095368,Халаты для взрослых,Плотность: 142 гр м2 Пол : женский Размер рост : 14
72095368,Халаты для взрослых,Размер: рост : 148-152 158-164 Состав ткани :
72095368,Халаты для взрослых,Халаты: для взрослых Виды одежды (включая
72095368,Халаты для взрослых,головных: уборов одежды специальной : Одежда для
72095368,Халаты для взрослых,продукции: : Товары Вид товаров : Одежда Назначение
72095368,Халаты для взрослых,ткани: 100 хлопок % Ткань : отбеленная бязь Цве
72095368,Халаты для взрослых,Размер: рост : 104-108 170-176 Рукав : длинный
72095368,Халаты для взрослых,Модель: : -
72095368,Халаты для взрослых,Цвет: синий Модель : -
72095368,Халаты для взрослых,Модель: : Халат мужской «Оскар-2» р. 116 182-188
72095368,Халаты для взрослых,Состав: ткани : 65 полиэфир 35 хлопок % Ткань :
72095368,Халаты для взрослых,Цвет: белый отделка – серо-голубой Модель : Ха
72095369,Пиджаки мужские,213 г
72095369,Пиджаки мужские,Вид: одежда для взрослых : Пиджак Модель :
72095369,Пиджаки мужские,Вид: продукции : Товары Вид товаров : Одежда
72095369,Пиджаки мужские,Виды: одежды (включая форменную) головных
72095369,Пиджаки мужские,Застежка: на три пуговицы Карманы : Два боковых ка
72095369,Пиджаки мужские,Модель: Пиджак форменный мужской однобортный р 9
72095369,Пиджаки мужские,Отделка: : масловодоотталкивающая Плотность : 213
72095369,Пиджаки мужские,Подкладка: полиэфир с антистатической отделкой Разм
72095369,Пиджаки мужские,Россия
72095369,Пиджаки мужские,Ткань: верха : полушерстяная Цвет : темно-синий
72095369,Пиджаки мужские,Пиджак: форменный мужской однобортный р.116 176
72095369,Пиджаки мужские,"Модель: : Куртка-пиджак мужской ""Лагонда"""
72095369,Пиджаки мужские,Назначение: защита от общих производственных загрязн
72095369,Пиджаки мужские,Пиджаки: мужские Назначение : защита от общих
72095369,Пиджаки мужские,Состав: ткани : 40% хлопок 30% полиэфир 30%
72095370,Футболки трикотажные для взрослых,160 г
72095370,Футболки трикотажные для взрослых,Состав: хлопок : 100 % Цвет : синий Модель :
72095370,Футболки трикотажные для взрослых,Футболка: х б синяя р.50 170-176
72095370,Футболки трикотажные для взрослых,Футболки: трикотажные для взрослых Виды одежды
72095370,Футболки трикотажные для взрослых,включая: форменную) головных уборов одежды
72095370,Футболки трикотажные для взрослых,признак: : мужской женский Размер рост : 50
72095370,Футболки трикотажные для взрослых,продукции: Товары Вид товаров : Одежда Плотность : 
72095370,Футболки трикотажные для взрослых,Модель: Футболка х б оранжевая р. 56 182-188
72095370,Футболки трикотажные для взрослых,Одежда: Половой признак : мужской женский Модель
72095370,Футболки трикотажные для взрослых,рост: 56 182-188 Состав хлопок : 100 % Цвет : 
72095370,Футболки трикотажные для взрослых,специальной: : Одежда для взрослых Плотность : 160 г
72095370,Футболки трикотажные для взрослых,Плотность: 160 гр м2 Размер рост : 50 170-176 Соста
72095370,Футболки трикотажные для взрослых,Цвет: Оранжевый Модель : Футболка х б оранжевая р. 50 17
72095370,Футболки трикотажные для взрослых,188 В
72095370,Футболки трикотажные для взрослых,Модель: : Футболка
72095373,Плащи для взрослых,225 г
72095373,Плащи для взрослых,Застежка: застежкой на двухзамковую молнию с клапа
72095373,Плащи для взрослых,Капюшон: Да Материал : полиэфир с ПВХ-покрытием с
72095373,Плащи для взрослых,Особенности: : швы проклеены специальной лентой Вид
72095373,Плащи для взрослых,Плащи: для взрослых Застежка : застежкой на
72095373,Плащи для взрослых,Плотность: 225 гр м2 Размер рост : 120-124 170-176 
72095373,Плащи для взрослых,Россия
72095373,Плащи для взрослых,Цвет: темно-синий Особенности : швы проклеены 
72095373,Плащи для взрослых,взрослых: Вид одежда для взрослых : Плащ Модель :
72095373,Плащи для взрослых,головных: уборов одежды специальной : Одежда для
72095373,Плащи для взрослых,Капюшон: да Плотность : 225 гр м2 Размер рост : 8
72095373,Плащи для взрослых,двухзамковую: молнию с клапаном против ветра Капюшон :
72095373,Плащи для взрослых,продукции: : Товары Застежка : застежкой на
72095373,Плащи для взрослых,синий: р. 88-92 182-188
72095373,Плащи для взрослых,Капюшон: наличие Назначение : для защиты от воды 
72105483,"Перчатки смотровые/процедурные из латекса гевеи, неопудренные, нестерильные",290 мм
72105483,"Перчатки смотровые/процедурные из латекса гевеи, неопудренные, нестерильные",Ansell: AlphaTec® 87-190 (Альфатек Эконохэндс)
72105483,"Перчатки смотровые/процедурные из латекса гевеи, неопудренные, нестерильные",Благодаря: небольшой толщине обеспечивают
72105483,"Перчатки смотровые/процедурные из латекса гевеи, неопудренные, нестерильные",Вид: размера : Стандартный Модель : Перчатки
72105483,"Перчатки смотровые/процедурные из латекса гевеи, неопудренные, нестерильные",Длина: 290 мм Вид размера : Стандартный Модель 
72105483,"Перчатки смотровые/процедурные из латекса гевеи, неопудренные, нестерильные",Материал: хлопковое напыление Манжета перчатки : п
72105483,"Перчатки смотровые/процедурные из латекса гевеи, неопудренные, нестерильные",Перчатки: смотровые процедурные из латекса гевеи
72105483,"Перчатки смотровые/процедурные из латекса гевеи, неопудренные, нестерильные",Поверхность: чешуйчатая Цвет : желтый Стандарты : ТР 
72105483,"Перчатки смотровые/процедурные из латекса гевеи, неопудренные, нестерильные",Размер: 8 5-9 Покрытие : натуральный каучук Особ
72105483,"Перчатки смотровые/процедурные из латекса гевеи, неопудренные, нестерильные",Универсальные: перчатки. Имеют специальную обработку
72105483,"Перчатки смотровые/процедурные из латекса гевеи, неопудренные, нестерильные",Цвет: желтый Стандарты : ТР ТС 019 2011 EN 374 EN 388 EN
72105483,"Перчатки смотровые/процедурные из латекса гевеи, неопудренные, нестерильные",Материал: Латекс Опудренные : 1 Размер : L (8 5-9) Стандарты
72105483,"Перчатки смотровые/процедурные из латекса гевеи, неопудренные, нестерильные",Модель: : Перчатки медицинские смотровые
72105483,"Перчатки смотровые/процедурные из латекса гевеи, неопудренные, нестерильные",латексные: опудренные (2882)(50 пар) МАЛАЙЗИЯ
72105483,"Перчатки смотровые/процедурные из латекса гевеи, неопудренные, нестерильные",неопудренные: нестерильные Вид перчаток : Смотровые
137004434,Фартуки кухонные,111 см
137004434,Фартуки кухонные,85 см
137004434,Фартуки кухонные,ГОСТ: 12.4.280-2014 Цвет : белый Ширина (без
137004434,Фартуки кухонные,Модель: Фартук поварской «Класс» белый Россия
137004434,Фартуки кухонные,Россия
137004434,Фартуки кухонные,Фартуки: кухонные Защитные свойства : от общих
137004434,Фартуки кухонные,Цвет: белый Ширина (без завязок) : 111 см Длин
137004434,Фартуки кухонные,производственных: загрязнений Рост : универсальный Состав
137004434,Фартуки кухонные,ткани: 65 полиэфир 35 хлопок % Стандарты : ГОСТ
137004434,Фартуки кухонные,2011 Г
137004434,Фартуки кухонные,Мужской: Стандарты : ТР ТС 019 2011 ГОСТ
137004434,Фартуки кухонные,Размер: рост : 92-104 170-176 Состав ткани : 100
137004434,Фартуки кухонные,Цвет: синий Модель : Фартук мужской тип Б сини
137004434,Фартуки кухонные,тип: Б синий Россия
137004434,Фартуки кухонные,176 М
137004762,Шорты для взрослых,Боковые: карманы : 2 шт Задние карманы с клапаном
137004762,Шорты для взрослых,Материал: 98% хлопок 2% эластан Петля для крепления пропуска
137004762,Шорты для взрослых,Модель: Шорты-бриджи Россия
137004762,Шорты для взрослых,Россия
137004762,Шорты для взрослых,Смесовая: Цвет : Черный Эластичный пояс : 1 Вид
137004762,Шорты для взрослых,Шорты: для взрослых Половой признак : Мужские
137004762,Шорты для взрослых,одежды: (включая форменную) головных уборов
137004762,Шорты для взрослых,одежды: специальной : Одежда для взрослых Вид
137004762,Шорты для взрослых,продукции: : Товары Вид товаров : Одежда Виды
137004762,Шорты для взрослых,пропуска: 1 шт Петля для ручного инструмента : 1 ш
137008502,Гели для ухода за кожей лица,0.00000 см
137008502,Гели для ухода за кожей лица,Артикул: 10100 Восстановление волос : 1 Действие 
137008502,Гели для ухода за кожей лица,Гели: для ухода за кожей лица Артикул : 10100
137008502,Гели для ухода за кожей лица,Гипоаллергенный: 1 Модель : «Гарда Премиум Профи Клин» оч
137008502,Гели для ухода за кожей лица,очищающий: гель для тела и шампунь для волос 2в1
137008502,Гели для ухода за кожей лица,ощущение: чистоты мягкости и свежести. Вид
137008502,Гели для ухода за кожей лица,упаковки: : бутыль с помпой-дозатором Объем :
137009272,Кремы для рук,100 м
137009272,Кремы для рук,Винтер: Стоп» крем для защиты кожи от мороза
137009272,Кремы для рук,Кремы: для рук Назначение : Крем защищает кожу
137009272,Кремы для рук,Кремы: для рук Условия хранения : Температура
137009272,Кремы для рук,Модель: «Гарда-Стандарт Винтер Стоп» крем для за
137009272,Кремы для рук,Наносить: крем на кожу рекомендуется только в
137009272,Кремы для рук,Объем: 100.00000 см[3*] Особенности : Время дей
137009272,Кремы для рук,Особенности: : Время действия не менее 4 часов.
137009272,Кремы для рук,Применение: : За 15 минут до выхода на улицу нанести
137009272,Кремы для рук,200 мл
137009272,Кремы для рук,Кремы: для рук Основные ингредиенты : Очищающая
137009272,Кремы для рук,Объем: 200 миллилитр Срок хранения : 36 мес Мод
137009272,Кремы для рук,Промыть: кожу водой. Объем : 200 миллилитр Срок
137009272,Кремы для рук,Россия
137009272,Кремы для рук,абразивными: гранулами Способ применения : Не
793142263,Одежда специальная для защиты от воды,188 В
793142263,Одежда специальная для защиты от воды,225 г
793142263,Одежда специальная для защиты от воды,Vision: WPL флуоресцентный оранжевый Россия
793142263,Одежда специальная для защиты от воды,Модель: Плащ влагозащитный ПВХ Extra Vision WPL 
793142263,Одежда специальная для защиты от воды,Одежда: специальная для защиты от воды
793142263,Одежда специальная для защиты от воды,Особенности: : Удобная конструкция с застежкой на
793142263,Одежда специальная для защиты от воды,Плотность: 225 гр м2 Световозвращающий элемент : по
793142263,Одежда специальная для защиты от воды,Россия
793142263,Одежда специальная для защиты от воды,Цвет: флуоресцентный оранжевый Размер рост : 112-116 182
793142263,Одежда специальная для защиты от воды,двумя: карманами с клапанами. Все швы плаща
793142263,Одежда специальная для защиты от воды,молнию: с ветрозащитным клапаном с капюшоном с
793142263,Одежда специальная для защиты от воды,Вид: товаров : Одежда Виды одежды (включая
793142263,Одежда специальная для защиты от воды,"Куртка: демисезонная ""Фалькон"" Россия"
793142263,Одежда специальная для защиты от воды,Наличие: логотипа : 1 Плотность : 150 гр м2
793142263,Одежда специальная для защиты от воды,Размер: и рост : 88-92 170 176 см Состав : 100
