category_id,characteristic,total_items,sample_item_ids
72095359,Модель: куртка мужская «оскар-2»,345,"35161188, 35161243, 28573270, 35358493, 28574483"
72095359,Модель: куртка мужская летняя «дублин»,345,"35161188, 35161243, 28573270, 35358493, 28574483"
72095359,Модель: блуза женская «инга»,345,"35161188, 35161243, 28573270, 35358493, 28574483"
72095359,Ширина: 5 см,345,"35161188, 35161243, 28573270, 35358493, 28574483"
72095359,Модель: ремень «омон» кожаный с металлической пряжкой,345,"35161188, 35161243, 28573270, 35358493, 28574483"
72095359,"Модель: свободного прямого силуэта , с высоким воротником",345,"35161188, 35161243, 28573270, 35358493, 28574483"
72095366,Модель: жилет флисовый «снегирь»,25,"18036378, 35701455, 1398870, 36049587, 38083422"
72095366,Модель: жилет мужской летний «крит» р,25,"18036378, 35701455, 1398870, 36049587, 38083422"
72095366,Назначение: для защиты от общих производственных загрязнений и механических воздействий,25,"18036378, 35701455, 1398870, 36049587, 38083422"
72095366,Модель: жилет мужской летний «крит»,25,"18036378, 35701455, 1398870, 36049587, 38083422"
72095366,Размер: 112-116/170-176,25,"18036378, 35701455, 1398870, 36049587, 38083422"
72095367,Назначение: защита об общепроизводственных загрязнений,33,"25586111, 20828831, 19327226, 38677424, 35187052"
72095367,Модель: жакет женский «бьянка-2»,33,"25586111, 20828831, 19327226, 38677424, 35187052"
72095367,Модель: жакет женский «медик» белый с бирюзовой отделкой,33,"25586111, 20828831, 19327226, 38677424, 35187052"
72095367,Модель: жакет женский,33,"25586111, 20828831, 19327226, 38677424, 35187052"
72095367,Модель: жакет женский медик /цв,33,"25586111, 20828831, 19327226, 38677424, 35187052"
72095367,Модель: жакет женский р,33,"25586111, 20828831, 19327226, 38677424, 35187052"
72095368,Назначение: для защиты от общих производственных загрязнений,55,"20795068, 34727433, 33960300, 34727413, 16600437"
72095368,Модель: халат женский белый из ткани бязь,55,"20795068, 34727433, 33960300, 34727413, 16600437"
72095368,Модель: тс,55,"20795068, 34727433, 33960300, 34727413, 16600437"
72095368,"Модель: халат мужской «оскар-2» , р",55,"20795068, 34727433, 33960300, 34727413, 16600437"
72095368,Назначение: не является медицинским изделием,55,"20795068, 34727433, 33960300, 34727413, 16600437"
72095370,"Назначение: подходит как для работы , так и для повседневного гардероба",431,"38776732, 37899694, 34830546, 34831796, 34832658"
72095370,Модель: сорочка с воротником «поло» длинный рукав,431,"38776732, 37899694, 34830546, 34831796, 34832658"
72095370,Модель: футболка х/б черная,431,"38776732, 37899694, 34830546, 34831796, 34832658"
72095370,Модель: сорочка с воротником «поло» васильковая,431,"38776732, 37899694, 34830546, 34831796, 34832658"
72095370,Модель: футболка «челси-м» фисташковая,431,"38776732, 37899694, 34830546, 34831796, 34832658"
72095370,Модель: сорочка поло «люмос» сигнальная,431,"38776732, 37899694, 34830546, 34831796, 34832658"
72095370,Модель: блузка с воротником женская «поло» сиреневая,431,"38776732, 37899694, 34830546, 34831796, 34832658"
72095370,Модель: футболка «только вертолетом!» синяя (4009),431,"38776732, 37899694, 34830546, 34831796, 34832658"
72095370,Модель: футболка «люмос» сигнальная,431,"38776732, 37899694, 34830546, 34831796, 34832658"
72095370,Модель: футболка с длинным рукавом темно-синяя,431,"38776732, 37899694, 34830546, 34831796, 34832658"
72095370,Размер: 48,431,"38776732, 37899694, 34830546, 34831796, 34832658"
793142263,Модель: сигнальная куртка- ветровка,148,"38707320, 38287489, 18167820, 35614134, 37975283"
793142263,Модель: плащ влагозащитный пвх extra vision wpl флуоресцен,148,"38707320, 38287489, 18167820, 35614134, 37975283"
793142263,Модель: плащ сигнальный «циклон хай-виз» для защиты от неф,148,"38707320, 38287489, 18167820, 35614134, 37975283"
793142263,"Назначение: для обеспечения повышенной видимости , для защиты от воды",148,"38707320, 38287489, 18167820, 35614134, 37975283"
793142263,Модель: костюм (полиэфир с пвх-покрытием) «посейдон» темно,148,"38707320, 38287489, 18167820, 35614134, 37975283"
793142263,Модель: пвх,148,"38707320, 38287489, 18167820, 35614134, 37975283"
793142263,Модель: куртка демисезонная фалькон,148,"38707320, 38287489, 18167820, 35614134, 37975283"
793142263,Модель: плащ «скат» темно-синий,148,"38707320, 38287489, 18167820, 35614134, 37975283"
793142263,"Назначение: защита от воды и ветра , сырой нефти и нефтепродуктов",148,"38707320, 38287489, 18167820, 35614134, 37975283"
793142263,"Модель: костюм мужской «циклон» для защиты от нефти , неф",148,"38707320, 38287489, 18167820, 35614134, 37975283"
793142263,Размер: 112-116/170-176,148,"38707320, 38287489, 18167820, 35614134, 37975283"
793142263,Модель: плащ,148,"38707320, 38287489, 18167820, 35614134, 37975283"
793142372,Модель: костюм муж,34,"38712209, 24012342, 24061182, 38712249, 24088133"
793142372,Модель: костюм женский летний «химик»,34,"38712209, 24012342, 24061182, 38712249, 24088133"
793142372,Модель: костюм женский летний «химик» для защиты от кислот,34,"38712209, 24012342, 24061182, 38712249, 24088133"
793142372,Модель: костюм мужской летний «химик»,34,"38712209, 24012342, 24061182, 38712249, 24088133"
793142372,"Назначение: для защиты от растворов кислот , щелочей , токсичных веществ , вредных биолог",34,"38712209, 24012342, 24061182, 38712249, 24088133"
793142372,"Модель: плащ мужской «циклон» для защиты от нефти , нефте",34,"38712209, 24012342, 24061182, 38712249, 24088133"
793142372,Модель: костюм мужской летний кислотостойкий,34,"38712209, 24012342, 24061182, 38712249, 24088133"
793142592,"Модель: костюм сварщика мужской летний «цезарь» , 2 класс",157,"35214007, 35130590, 35079568, 34831750, 35216141"
793142592,Модель: костюм сварщика комбинированный со спилком (зимний,157,"35214007, 35130590, 35079568, 34831750, 35216141"
793142592,Модель: костюм из смешанных тканей с огнезащитной пропитко,157,"35214007, 35130590, 35079568, 34831750, 35216141"
793142592,"Модель: костюм сварщика цельноспилковый , 3 класс защиты",157,"35214007, 35130590, 35079568, 34831750, 35216141"
793142592,Назначение: костюм для защиты от повышеных температур,157,"35214007, 35130590, 35079568, 34831750, 35216141"
793142592,Назначение: для защиты от теплового излучения и конвективной теплоты,157,"35214007, 35130590, 35079568, 34831750, 35216141"
793142592,Размер: 96-100/170-176,157,"35214007, 35130590, 35079568, 34831750, 35216141"
793142592,Модель: костюм муж,157,"35214007, 35130590, 35079568, 34831750, 35216141"
793142592,Назначение: для сварщиков,157,"35214007, 35130590, 35079568, 34831750, 35216141"
793142592,Модель: костюм сварщика утеплён,157,"35214007, 35130590, 35079568, 34831750, 35216141"
793142592,Модель: перчатки gold plus (голд плюс) из спилка крс с кра,157,"35214007, 35130590, 35079568, 34831750, 35216141"
793142592,Модель: костюм летний «старк» для вспомогательных сварочны,157,"35214007, 35130590, 35079568, 34831750, 35216141"
793142593,Модель: костюм сигнальный повышенной видимости для защиты,514,"35125393, 36593103, 33033003, 38510043, 34805278"
793142593,Модель: костюм мужской летний сигнальный «люмос»,514,"35125393, 36593103, 33033003, 38510043, 34805278"
793142593,Модель: плащ влагозащитный пвх extra vision wpl флуоресцен,514,"35125393, 36593103, 33033003, 38510043, 34805278"
793142593,Модель: куртка-ветровка мужская утепленная сигнальная «што,514,"35125393, 36593103, 33033003, 38510043, 34805278"
793142593,Модель: куртка-ветровка утепленная сигнальная «шторм контр,514,"35125393, 36593103, 33033003, 38510043, 34805278"
793142593,Модель: куртка сигнальная,514,"35125393, 36593103, 33033003, 38510043, 34805278"
793142593,Назначение: для технических служб,514,"35125393, 36593103, 33033003, 38510043, 34805278"
793142593,Модель: жилет сигнальный «эконом» флуоресцентный желтый,514,"35125393, 36593103, 33033003, 38510043, 34805278"
793142593,Модель: полукомбинезон мужской зимний сигнальный «люмос»,514,"35125393, 36593103, 33033003, 38510043, 34805278"
793142593,Тип: да,514,"35125393, 36593103, 33033003, 38510043, 34805278"
793142593,Сезонность: зима,514,"35125393, 36593103, 33033003, 38510043, 34805278"
793142593,Назначение: для защиты от пониженных температур,514,"35125393, 36593103, 33033003, 38510043, 34805278"
793142812,Назначение: для защиты от общих производственных загрязнений и механических воздействий,24,"38165275, 35944533, 36780953, 35945036, 35944582"
793142812,Назначение: защита оператора от прямого попадания или рикошета абразивного материала,24,"38165275, 35944533, 36780953, 35945036, 35944582"
793142812,Модель: комбинезон мужской для работы с пескоструйными апп,24,"38165275, 35944533, 36780953, 35945036, 35944582"
793142812,Размер: 112,24,"38165275, 35944533, 36780953, 35945036, 35944582"
793142812,"Модель: куртка мужская утепленная «аэро» , размер 104-108",24,"38165275, 35944533, 36780953, 35945036, 35944582"
793142812,Размер: 104-108/182-188,24,"38165275, 35944533, 36780953, 35945036, 35944582"
793142812,Модель: костюм мужской летний «билд»,24,"38165275, 35944533, 36780953, 35945036, 35944582"
793142812,Размер: 52-54,24,"38165275, 35944533, 36780953, 35945036, 35944582"
793142812,Модель: костюм (полиэфир с пвх-покрытием) «посейдон» темно,24,"38165275, 35944533, 36780953, 35945036, 35944582"
793142813,Модель: куртка мужская зимняя «челси»,2132,"34736524, 36101262, 35979093, 34304566, 38914852"
793142813,Модель: белье мужское утепленное «камыш» (трикотажное поло,2132,"34736524, 36101262, 35979093, 34304566, 38914852"
793142813,Модель: костюм сигнальный повышенной видимости для защиты,2132,"34736524, 36101262, 35979093, 34304566, 38914852"
793142813,Модель: жилет утепленный прямого силуэта,2132,"34736524, 36101262, 35979093, 34304566, 38914852"
793142813,Модель: костюм мужской зимний «билд»,2132,"34736524, 36101262, 35979093, 34304566, 38914852"
793142813,Модель: полукомбинезон женский зимний «ладога»,2132,"34736524, 36101262, 35979093, 34304566, 38914852"
793142813,Модель: костюм мужской для защиты от пониженных температур,2132,"34736524, 36101262, 35979093, 34304566, 38914852"
793142813,Модель: куртка женская зимняя «ладога»,2132,"34736524, 36101262, 35979093, 34304566, 38914852"
793142813,Модель: куртка мужская зимняя «байкал-2» (3(4) класс защит,2132,"34736524, 36101262, 35979093, 34304566, 38914852"
793142813,Модель: брюки мужские зимние «азов»,2132,"34736524, 36101262, 35979093, 34304566, 38914852"
793142813,Модель: брюки мужские зимние «молоток»,2132,"34736524, 36101262, 35979093, 34304566, 38914852"
793142813,Модель: костюм мужской зимний сигнальный «магистраль»,2132,"34736524, 36101262, 35979093, 34304566, 38914852"
793143032,Назначение: для защиты от общих производственных загрязнений и механических воздействий,4898,"35096194, 34881803, 34803581, 35916952, 34850571"
793143032,Модель: куртка мужская летняя «скаймастер»,4898,"35096194, 34881803, 34803581, 35916952, 34850571"
793143032,"Модель: плащ мужской «циклон» для защиты от нефти , нефте",4898,"35096194, 34881803, 34803581, 35916952, 34850571"
793143032,Модель: куртка флисовая,4898,"35096194, 34881803, 34803581, 35916952, 34850571"
793143032,Модель: костюм мужской летний «техно»,4898,"35096194, 34881803, 34803581, 35916952, 34850571"
793143032,Модель: лётный синий р,4898,"35096194, 34881803, 34803581, 35916952, 34850571"
793143032,Модель: брюки женские,4898,"35096194, 34881803, 34803581, 35916952, 34850571"
793143032,Тип: да,4898,"35096194, 34881803, 34803581, 35916952, 34850571"
793143032,Конструкция: горло,4898,"35096194, 34881803, 34803581, 35916952, 34850571"
793143032,Модель: полукомбинезон мужской летний «скаймастер»,4898,"35096194, 34881803, 34803581, 35916952, 34850571"
793143032,Модель: жакет женский «бьянка-2»,4898,"35096194, 34881803, 34803581, 35916952, 34850571"
793143032,Модель: брюки софтшелл «челси»,4898,"35096194, 34881803, 34803581, 35916952, 34850571"
793143142,Модель: костюм мужской для защиты от повышенных температур,9,"22288310, 26776203, 36488331, 18115350, 22312515"
793143142,Модель: шапка вязаная двойная на тинсулейте® темно-синяя,9,"22288310, 26776203, 36488331, 18115350, 22312515"
793143142,Размер: 55,9,"22288310, 26776203, 36488331, 18115350, 22312515"
793143142,Модель: шапка трикотажная двойная с утеплителем тинсулейт®,9,"22288310, 26776203, 36488331, 18115350, 22312515"
793299344,Модель: страховочная привязь та20,47,"37478815, 36616131, 36616154, 18671406, 36500961"
793299344,Применение: для безопасной остановки падения и является компонентом страховочной системы,47,"37478815, 36616131, 36616154, 18671406, 36500961"
793299344,Высота: 035,47,"37478815, 36616131, 36616154, 18671406, 36500961"
793299344,Конструкция: гр,47,"37478815, 36616131, 36616154, 18671406, 36500961"
793300443,"Модель: кальсоны трикотажные «тироль» , пр-во «комацо» (2",62,"34410566, 38129668, 38288017, 38007064, 35118413"
793300443,"Модель: фуфайка трикотажная «тироль» , пр-во «комацо» (2/",62,"34410566, 38129668, 38288017, 38007064, 35118413"
793300443,Модель: термобелье мужское «беринг»,62,"34410566, 38129668, 38288017, 38007064, 35118413"
793300443,Модель: белье термостойкое «вольт л»,62,"34410566, 38129668, 38288017, 38007064, 35118413"
793300443,Модель: термобелье мужское «беринг фрост» (кальсоны + фуфа,62,"34410566, 38129668, 38288017, 38007064, 35118413"
793300443,Модель: белье термостойкое «вольт з»,62,"34410566, 38129668, 38288017, 38007064, 35118413"
793300662,Модель: куртка-рубашка «вольт л 160-6»,49,"35059619, 38294985, 22288976, 37260001, 38286875"
793300662,Модель: куртка-накидка «вольт л 220/2-33»,49,"35059619, 38294985, 22288976, 37260001, 38286875"
793300662,Модель: костюм сварщика огнестойкий ткань «молескин»,49,"35059619, 38294985, 22288976, 37260001, 38286875"
793300662,Модель: фуфайка-свитер термостойкий «вольт л»,49,"35059619, 38294985, 22288976, 37260001, 38286875"
793300662,Модель: костюм летний «вольт л 220-14»,49,"35059619, 38294985, 22288976, 37260001, 38286875"
793300662,Модель: белье термостойкое «вольт з»,49,"35059619, 38294985, 22288976, 37260001, 38286875"
793300662,Модель: костюм летний «вольт л 190/2-23»,49,"35059619, 38294985, 22288976, 37260001, 38286875"
793300662,Модель: мс-2,49,"35059619, 38294985, 22288976, 37260001, 38286875"
793300662,"Назначение: в машиностроении , при сборке , монтаже , ремонте , строительных и других ра",49,"35059619, 38294985, 22288976, 37260001, 38286875"
793300662,Модель: защитный лицевой щиток сварщика нн10-с-3 (9) premi,49,"35059619, 38294985, 22288976, 37260001, 38286875"
793315402,Модель: белье мужское утепленное «камыш» (трикотажное поло,37,"16699540, 24009819, 24014544, 35292396, 16700424"
793315402,Модель: белье мужское «тайга» (трикотажное полотно х/б) р,37,"16699540, 24009819, 24014544, 35292396, 16700424"
793315402,Модель: термобелье мужское island cup р,37,"16699540, 24009819, 24014544, 35292396, 16700424"
793315402,Модель: белье мужское «тайга» (трикотажное полотно х/б),37,"16699540, 24009819, 24014544, 35292396, 16700424"
793315402,Назначение: для действий средней активности при ношении в прохладную и холодную погоду,37,"16699540, 24009819, 24014544, 35292396, 16700424"
793316172,Назначение: для защиты от пониженных температур,56,"36088612, 34485302, 1395728, 19625981, 36274249"
793316172,Модель: куртка мужская зимняя «айсберг»,56,"36088612, 34485302, 1395728, 19625981, 36274249"
793316172,Модель: куртка мужская зимняя «прайм» р,56,"36088612, 34485302, 1395728, 19625981, 36274249"
793316172,Модель: куртка женская зимняя «исландия»,56,"36088612, 34485302, 1395728, 19625981, 36274249"
793316172,Модель: куртка женская зимняя «ладога»,56,"36088612, 34485302, 1395728, 19625981, 36274249"
793316172,Модель: куртка мужская утепленная «аэро»,56,"36088612, 34485302, 1395728, 19625981, 36274249"
793316172,Модель: куртка мужская зимняя «буран»,56,"36088612, 34485302, 1395728, 19625981, 36274249"
793316172,Модель: куртка мужская мт 2 для защиты от пониженных те,56,"36088612, 34485302, 1395728, 19625981, 36274249"
793316172,Модель: куртка мужская зимняя «байкал-2» (3(4) класс защит,56,"36088612, 34485302, 1395728, 19625981, 36274249"
793316172,Назначение: защита от пониженных температур,56,"36088612, 34485302, 1395728, 19625981, 36274249"
793316172,Модель: куртка мужская зимняя «прайм»,56,"36088612, 34485302, 1395728, 19625981, 36274249"
793316613,Модель: шапка-ушанка «енисей» с креплениями под каску,46,"34644809, 35926138, 35255974, 36736122, 38513449"
793316613,Модель: шапка-ушанка «норд»,46,"34644809, 35926138, 35255974, 36736122, 38513449"
793316613,Размер: 55-62,46,"34644809, 35926138, 35255974, 36736122, 38513449"
793316613,Модель: шапка трикотажная двойная с утеплителем тинсулейт®,46,"34644809, 35926138, 35255974, 36736122, 38513449"
793316613,Модель: «капитан»,46,"34644809, 35926138, 35255974, 36736122, 38513449"
793316613,Модель: шапка вязаная skydd (скидд) с мембраной event темн,46,"34644809, 35926138, 35255974, 36736122, 38513449"
793316613,Модель: «норд» р,46,"34644809, 35926138, 35255974, 36736122, 38513449"
793347084,Размер: 10,136,"36854636, 34337699, 38007019, 38569500, 1441271"
793347084,Тип: ман,136,"36854636, 34337699, 38007019, 38569500, 1441271"
793347084,Модель: перчатки трикотажные для защиты от внешних воздейс,136,"36854636, 34337699, 38007019, 38569500, 1441271"
793347084,Модель: перчатки резиновые диэлектрические азриэлектро кла,136,"36854636, 34337699, 38007019, 38569500, 1441271"
793347084,Назначение: применяются для выполнения точных работ,136,"36854636, 34337699, 38007019, 38569500, 1441271"
793347084,Модель: перчатки зимние «хаски»,136,"36854636, 34337699, 38007019, 38569500, 1441271"
793347084,"Назначение: ремонтные , строительно-конструкторские , сборочно-монтажные работы , машинос",136,"36854636, 34337699, 38007019, 38569500, 1441271"
793347084,Модель: перчатки verde (верде),136,"36854636, 34337699, 38007019, 38569500, 1441271"
793347084,Модель: перчатки кщс тип ii,136,"36854636, 34337699, 38007019, 38569500, 1441271"
793347084,Назначение: для защиты от поражения электрическим током,136,"36854636, 34337699, 38007019, 38569500, 1441271"
793347084,"Назначение: для защиты от механических воздействий (истирания , проколов , порезов)",136,"36854636, 34337699, 38007019, 38569500, 1441271"
793347084,"Модель: перчатки cutler pu (катлер pu) от порезов , урове",136,"36854636, 34337699, 38007019, 38569500, 1441271"
793347963,Размер: 10,78,"36102459, 18151108, 35622669, 16816590, 37786933"
793347963,Назначение: для защиты рук от механических воздействий (истирания),78,"36102459, 18151108, 35622669, 16816590, 37786933"
793347963,Модель: перчатки термостойкие «вольт л»,78,"36102459, 18151108, 35622669, 16816590, 37786933"
793347963,Модель: перчатки трикотажные «гриф» с точечным пвх-покрыти,78,"36102459, 18151108, 35622669, 16816590, 37786933"
793347963,Назначение: для работы с сухими предметами,78,"36102459, 18151108, 35622669, 16816590, 37786933"
793347963,Модель: перчатки полушерстяные двухслойные,78,"36102459, 18151108, 35622669, 16816590, 37786933"
793347963,Модель: перчатки antistatic («антистатик»),78,"36102459, 18151108, 35622669, 16816590, 37786933"
793347963,"Назначение: строительные работы , коммунальное хозяйство , общепромышленного применения ,",78,"36102459, 18151108, 35622669, 16816590, 37786933"
793347963,Модель: перчатки sigma («сигма»),78,"36102459, 18151108, 35622669, 16816590, 37786933"
793347963,"Назначение: для строительных работ , автомобилестроения , погрузо-разгрузочных работ , об",78,"36102459, 18151108, 35622669, 16816590, 37786933"
793347963,Модель: перчатки build (билд),78,"36102459, 18151108, 35622669, 16816590, 37786933"
793347963,Тип: ман,78,"36102459, 18151108, 35622669, 16816590, 37786933"
793347964,Размер: 10,22,"38633895, 38102320, 35480588, 35893807, 36312531"
793347964,Модель: рукавицы меховые,22,"38633895, 38102320, 35480588, 35893807, 36312531"
793347964,"Назначение: для сварочных работ всех видов , работ с раскаленными предметами , с грубыми а",22,"38633895, 38102320, 35480588, 35893807, 36312531"
793347964,Модель: рукавицы меховые с кожаным наладонником,22,"38633895, 38102320, 35480588, 35893807, 36312531"
793347964,Модель: рукавицы утепленные «йока терм r101»,22,"38633895, 38102320, 35480588, 35893807, 36312531"
793347964,Модель: рукавицы зимние «маламут»,22,"38633895, 38102320, 35480588, 35893807, 36312531"
793347964,Модель: перчатки jamboo 7,22,"38633895, 38102320, 35480588, 35893807, 36312531"
793347964,Размер: 11,22,"38633895, 38102320, 35480588, 35893807, 36312531"
793348072,Назначение: для защиты от общих производственных загрязнений и механических воздействий,284,"34777129, 35059995, 34321807, 20374974, 20510387"
