category,characteristic
Блоки питания для компьютерной техники встраиваемые,Цвет: черный
Блоки питания для компьютерной техники встраиваемые,Высота: 86
Блоки питания для компьютерной техники встраиваемые,Длина: 140
Блоки питания для компьютерной техники встраиваемые,Cpu: 8-pin
Блоки питания для компьютерной техники встраиваемые,Cpu: 1x 4+4
Блоки питания для компьютерной техники встраиваемые,Страна: китай
Блоки питания для компьютерной техники встраиваемые,Цвет: серебристый
Блоки питания для компьютерной техники встраиваемые,Материал корпуса: пластик
Аппараты контрольно-кассовые,Цвет: черный
Аппараты контрольно-кассовые,Цвет: белый
Аппараты контрольно-кассовые,Модель  аппарата: ql570/710w/720nw/800/810w
Аппараты контрольно-кассовые,Модель  аппарата: rhino
Аппараты контрольно-кассовые,Материал ленты: бумага
Аппараты контрольно-кассовые,Материал ленты: нейлон
Аппараты контрольно-кассовые,Материал ленты: винил
Аппараты контрольно-кассовые,Материал ленты: бумажно-пленочная
Аппараты контрольно-кассовые,Материал: термальный картон
Рамки металлические,Цвет: багета:серебро
Рамки металлические,Цвет: багета:черный
Рамки металлические,Материал: металл
Рамки металлические,Материал вставки: пластик
Рамки металлические,Материал задника: оргалит
Рамки металлические,Цвет: матовое серебро
Рамки металлические,Ширина: 240
Рамки металлические,Материал: задней
Рамки металлические,Материал рамки: алюминий
Рамки металлические,Длина: 400
Рамки металлические,Материал багета: алюминий
Рамки пластиковые,Материал багета: пластик
Рамки пластиковые,Материал вставки: пластик
Рамки пластиковые,Материал задника: оргалит
Рамки пластиковые,Цвет: серебро
Рамки пластиковые,Материал вставки: стекло
Рамки пластиковые,Цвет: коричневый
Рамки пластиковые,Цвет: бронза
Рамки пластиковые,Цвет: зеленый
Рамки пластиковые,Цвет: синий
Рамки пластиковые,Цвет: светлое дерево
Рамки пластиковые,Цвет: голубой
Рамки пластиковые,Цвет: бордовый
Бумага для флипчартов,Цвет: блока:белый
Бумага для флипчартов,Цвет: белый
Бумага для флипчартов,Количество листов: 20
Бумага для флипчартов,Цвет: внутренного
Бумага цветная для творчества,Материал: бумага
Бумага цветная для творчества,Количество листов: 16
Бумага цветная для творчества,Длина: 270
Бумага цветная для творчества,Ширина: 21
Бумага цветная для творчества,Материал: картон
Бумага цветная для творчества,Количество в упаковке: 10
Бумага цветная для творчества,Цвет: ассорти
Бумага цветная для творчества,Цвет: сиреневый
Бумага цветная для творчества,Цвет: белый
Бумага цветная для творчества,Цвет: оливковый
Бумага цветная для творчества,Цвет: апельсиновый
Бумага цветная для творчества,Цвет: оранжево-желтый
Вентиляторы охлаждения корпусные,Материал: радиатора:алюминий
Вентиляторы охлаждения корпусные,Материал: радиатора:алюминий+медь
Вентиляторы охлаждения корпусные,Материал: радиатора:без радиатора
Вентиляторы охлаждения корпусные,Материал: радиатора:алюминий + медь
Вентиляторы охлаждения корпусные,Цвет: черный
Расшиватели документов,Цвет: черный
Расшиватели документов,Материал: механизма:металл
Расшиватели документов,Цвет: красный
Расшиватели документов,Материал корпуса: пластик
Расшиватели документов,Цвет: синий
Расшиватели документов,Материал корпуса: металл/пластик
Резинки бухгалтерские,Цвет: разноцветные
Резинки бухгалтерские,Количество в упаковке: 160
Резинки бухгалтерские,Цвет: разноцветный
Резинки бухгалтерские,Материал: каучук
Резинки бухгалтерские,Цвет: зеленый
Резинки бухгалтерские,Цвет: красный
Резинки бухгалтерские,Количество в упаковке: 25
Резинки бухгалтерские,Количество в упаковке: 1800
Монитор,Тип матрицы: tft
Монитор,Тип матрицы: ips
Монитор,Цвет: черный
Монитор,Тип матрицы: va
Монитор,Тип матрицы: tn
Монитор,Страна: китай
Монитор,Тип матрицы: led
Монитор,Материал корпуса: пластик
Монитор,Тип матрицы: tn+film
Монитор,Тип матрицы: mva
Монитор,Диагональ: 23
Монитор,Цвет: чёрный
Многофункциональное устройство (МФУ),Цвет: белый
Многофункциональное устройство (МФУ),Тип печати: цветная
Многофункциональное устройство (МФУ),Тип печати: цветной
Многофункциональное устройство (МФУ),Цвет: серый
Многофункциональное устройство (МФУ),Тип печати: черно-белая
Многофункциональное устройство (МФУ),Ширина: 607
Многофункциональное устройство (МФУ),Тип печати: цветная лазерная
Бейджи...,Длина: 85
Бейджи...,Ширина: 55
Бейджи...,Цвет: крепления:черный
Бейджи...,Материал бейджа: полиэстер
Бейджи...,Материал: нити:полиэфир
Бейджи...,Цвет: белый
Бейджи...,Ширина: 87
Бейджи...,Цвет: прозрачный
Проекторы,Цвет: белый
Проекторы,Разрешение: 1920x1080
Проекторы,Цвет: черный
Проекторы,Разрешение: 1280
Проекторы,Разрешение: 1920
Проекторы,Разрешение: 800
Проекторы,Ширина: 316
Проекторы,Разрешение: 1280x800
Видеокарты,Разрешение: 7680x4320
Видеокарты,Длина: 170
Видеокарты,Длина: 204
Видеокарты,Разрешение: 4096x2160
Этикетки самоклеящиеся,Цвет: этикетки:белый
Этикетки самоклеящиеся,Ширина: 58
Этикетки самоклеящиеся,Цвет: белый
Этикетки самоклеящиеся,Материал: этикетки:термобумага
Этикетки самоклеящиеся,Тип печати: термопечать
Этикетки самоклеящиеся,Цвет: этикетки:белая
Этикетки самоклеящиеся,Высота: 500
Этикетки самоклеящиеся,Количество в упаковке: 1000
Этикетки самоклеящиеся,Страна: россия
Этикетки самоклеящиеся,Материал: этикетки:бумага матовая
Этикетки самоклеящиеся,Цвет: этикетки:4+0
Этикетки самоклеящиеся,Материал: пленка пвх самоклеящаяся
Светодиоды,Цвет: свечения:зеленый
Светодиоды,Цвет: свечения:красный
Светодиоды,Цвет: свечения:желтый
Светодиоды,Цвет: линзы:желтый матовый
Светодиоды,Цвет: свечения:белый
Губки для маркерных досок,Длина: 160
Губки для маркерных досок,Ширина: 55
Губки для маркерных досок,Материал: этиленвинилацетат/фетр
Губки для маркерных досок,Цвет: серый
Губки для маркерных досок,Материал: дерево
Губки для маркерных досок,Цвет: бежевый
Губки для маркерных досок,Высота: 45
Доски комбинированные магнитно-пробковые,Цвет: доски:белая
Доски комбинированные магнитно-пробковые,Ширина: 120
Доски комбинированные магнитно-пробковые,Цвет: доски:зеленая
Доски комбинированные магнитно-пробковые,Материал рамы: алюминий
Доски комбинированные магнитно-пробковые,Ширина: 150
Доски комбинированные магнитно-пробковые,Цвет: доски:белый
Доски комбинированные магнитно-пробковые,Материал рамы: стальная
Доски комбинированные магнитно-пробковые,Цвет: доски:натуральная пробка
Закладки самоклеящиеся бумажные,Цвет: разноцветные
Закладки самоклеящиеся бумажные,Материал: плотная бумага 130гр/м2
Закладки самоклеящиеся бумажные,Ширина: 76
Закладки самоклеящиеся бумажные,Ширина: 95
Закладки самоклеящиеся бумажные,Ширина: 75
Закладки самоклеящиеся пластиковые,Ширина: 12
Закладки самоклеящиеся пластиковые,Материал: закладки:пластик
Закладки самоклеящиеся пластиковые,Материал: пластик
Закладки самоклеящиеся пластиковые,Ширина: 25
Закладки самоклеящиеся пластиковые,Цвет: розовый
Закладки самоклеящиеся пластиковые,Длина: 50
Закладки самоклеящиеся пластиковые,Ширина: 14
Закладки самоклеящиеся пластиковые,Цвет: неон
Закладки самоклеящиеся пластиковые,Цвет: зеленый
Закладки самоклеящиеся пластиковые,Длина: 45
Бумага художественная,Цвет: блока:белый
Бумага художественная,Цвет: бумаги:белый
Бумага художественная,Количество листов: 20
Бумага художественная,Цвет: белый
Бумага художественная,Ширина: 148
Бумага художественная,Ширина: 210
Кабели волоконно-оптические,Тип материала: защитной
Кабели волоконно-оптические,Длина: 1000
Кабели волоконно-оптические,Цвет: черный
Кабели волоконно-оптические,Цвет: жемчужно-сиреневый
Кабели волоконно-оптические,Цвет: аква
Календари настольные,Материал: блока:мелованная бумага
Календари настольные,Количество листов: 160
Календари настольные,Материал: блока:офсетная бумага
Календари настольные,Длина: 70
Календари настольные,Ширина: 42
Календари настольные,Цвет: печати:4+0
Календари настольные,Материал: атлас
Календари настольные,Ширина: 12
Календари настольные,Материал: винил
Калькуляторы,Цвет: черный
Калькуляторы,Цвет: зеленый
Калькуляторы,Ширина: 155
Калькуляторы,Цвет: фиолетовый
Калькуляторы,Высота: 31
Калькуляторы,Материал: кнопок:пластик
Калькуляторы,Длина: 206
Калькуляторы,Цвет: розовый
Калькуляторы,Цвет: синий
Калькуляторы,Материал: пластик
Ролики,Материал: термобумага
Ролики,Цвет: белый
Ролики,Ширина: 80
Ролики,Цвет: печати:черный
Ролики,Цвет: печати::черный
Ролики,Ширина: 57
Ролики,Цвет: печати:чёрный
Ролики,Материал ленты: термобумага
Ролики,Количество в упаковке: 12
Калькуляторы....,Цвет: черный
Калькуляторы....,Цвет: синий
Калькуляторы....,Цвет: белый
Калькуляторы....,Цвет: розовый
Калькуляторы....,Цвет: салатовый
Калькуляторы....,Цвет: зеленый
Калькуляторы....,Цвет: оранжевый
Калькуляторы....,Цвет: фиолетовый
Карты микропроцессорные,Материал: пластик
Карты микропроцессорные,Цвет: белый
Карты микропроцессорные,Ширина: 54
Карты микропроцессорные,Материал: пвх
Карты микропроцессорные,Длина: 86
Карты микропроцессорные,Высота: 54
Карты микропроцессорные,Страна: россия
Зажимы для бумаг,Цвет: черный
Зажимы для бумаг,Материал корпуса: металл
Зажимы для бумаг,Материал: металл
Зажимы для бумаг,Цвет: разноцветный
Зажимы для бумаг,Цвет: розовый/голубой/желтый/синий
Зажимы для бумаг,Цвет: цветные
Зажимы для бумаг,Ширина: 19
Зажимы для бумаг,Цвет: в ассортименте
Зажимы для бумаг,Цвет: ассорти
Визитницы пластиковые,Материал: обложки:натуральная кожа
Визитницы пластиковые,Материал: обложки:пвх
Визитницы пластиковые,Цвет: бежевый
Визитницы пластиковые,Материал: обложки:пластик
Пленка для печати на офисной технике,Цвет: поверхности для
Пленка для печати на офисной технике,Количество в упаковке: 100
Пленка для печати на офисной технике,Количество в упаковке: 50
Пленка для печати на офисной технике,Цвет: клеевой
Пленка для печати на офисной технике,Количество в упаковке: 25
Пленка для печати на офисной технике,Количество в упаковке: 10
Пленка для печати на офисной технике,Ширина: 914
Источники бесперебойного питания,Цвет: черный
Источники бесперебойного питания,Страна: китай
Источники бесперебойного питания,Ширина: 440
Источники бесперебойного питания,Высота: 19
Источники бесперебойного питания,Материал: металл
Источники бесперебойного питания,Цвет: серебристый
Источники бесперебойного питания,Материал корпуса: металл
Источники бесперебойного питания,Цвет: серый
Источники бесперебойного питания,Материал корпуса: пластик
Модули оперативной памяти,Объем: 16
Модули оперативной памяти,Длина: 17
Модули оперативной памяти,Объем: 32
Модули оперативной памяти,Объем: 64
Дыроколы фигурные,Цвет: фиолетовый
Дыроколы фигурные,Цвет: красный
Дыроколы фигурные,Цвет: желтый
Дыроколы фигурные,Цвет: сиреневый
Дыроколы фигурные,Цвет: голубой
Лотки,Цвет: черный
Лотки,Материал: пластик
Лотки,Цвет: синий
Лотки,Цвет: серый
Лотки,Высота: 60
Лотки,Цвет: зеленый
Лотки,Цвет: прозрачный
Лотки,Цвет: голубой
Лотки,Ширина: 75
Лотки,Цвет: розовый
Лотки,Длина: 340
Лотки,Материал: лотка:пластик
Устройства обработки звука,Цвет: черный
Устройства обработки звука,Цвет: кабеля:черный
Устройства обработки звука,Цвет: серебристый
Устройства обработки звука,Сопротивление: 250
Устройства обработки звука,Длина: 10
Устройства офисные для уничтожения документов,Цвет: серый
Устройства офисные для уничтожения документов,Цвет: белый
Устройства офисные для уничтожения документов,Ширина: 350
Устройства офисные для уничтожения документов,Цвет: черный
Устройства офисные для уничтожения документов,Ширина: 220
Устройства офисные для уничтожения документов,Материал корпуса: пластик
Устройства офисные для уничтожения документов,Ширина: 364
Шкафы монтажные,Цвет: серый
Шкафы монтажные,Цвет: белый
Шкафы монтажные,Материал корпуса: сталь
Шкафы монтажные,Материал корпуса: пластик
Шкафы монтажные,Ширина: 600
Шкафы монтажные,Материал: металл
Шкафы монтажные,Страна: россия
Шкафы монтажные,Высота: 2200
Шкафы монтажные,Материал: монтажной
Шкафы монтажные,Материал корпуса: цам
Шкафы монтажные,Цвет: шкафа:серый
Шкафы монтажные,Длина: 20
Комплектующие информационно-технологического оборудования прочие...,Цвет: черный
Комплектующие информационно-технологического оборудования прочие...,Цвет: темно-серый
Комплектующие информационно-технологического оборудования прочие...,Материал корпуса: пластик
Комплектующие информационно-технологического оборудования прочие...,Тип матрицы: ips
Компьютеры персональные настольные (моноблоки),Тип матрицы: ips
Компьютеры персональные настольные (моноблоки),Цвет: черный
Компьютеры персональные настольные (моноблоки),Страна: китай
Компьютеры персональные настольные (моноблоки),Цвет: серебристый
Компьютеры персональные настольные (моноблоки),Материал корпуса: пластик
Компьютеры персональные настольные (моноблоки),Ширина: 49
Компьютеры персональные настольные (моноблоки),Диагональ: 23
Компьютеры персональные настольные (моноблоки),Процессор: core i3
Компьютеры персональные настольные (моноблоки),Высота: 39
Компьютеры персональные настольные (моноблоки),Цвет: черный/золотистый
Компьютеры персональные настольные (моноблоки),Разрешение: 1920x1080
Компьютеры персональные настольные (моноблоки),Разрешение: 1920
Панели интерактивные,Разрешение: 3840x2160
Панели интерактивные,Процессор: intel core i3
Панели интерактивные,Разрешение: 3840
Панели интерактивные,Тип матрицы: oled
Панели интерактивные,Страна: россия
Разделители листов пластиковые,Материал: пластик
Разделители листов пластиковые,Цвет: серый
Разделители листов пластиковые,Ширина: 210
Разделители листов пластиковые,Цвет: разноцветный
Разделители листов пластиковые,Длина: 297
Разделители листов пластиковые,Количество в упаковке: 31
Разделители листов пластиковые,Материал: изготовления:полипропилен
Разделители листов пластиковые,Цвет: синий
Разделители листов пластиковые,Материал: изготовления:пвх
Разделители листов пластиковые,Цвет: серебристый
Разделители листов пластиковые,Материал: изготовления:металл/пластик
Разделители листов пластиковые,Высота: 105
Рамки деревянные,Материал вставки: стекло
Рамки деревянные,Материал задника: переплетный картон
Рамки деревянные,Материал: пластик
Рамки деревянные,Материал багета: дерево
Рамки деревянные,Страна: россия
Рамки деревянные,Материал вставки: пластик
Рамки деревянные,Материал: дерево
Рамки деревянные,Цвет: тонированное дерево
Рамки деревянные,Материал багета: мдф
Рамки деревянные,Материал: мдф
Рамки деревянные,Цвет: темное дерево
Рамки деревянные,Цвет: белый
Конференц- и конгресс-системы,Цвет: черный
Конференц- и конгресс-системы,Длина: 52
Конференц- и конгресс-системы,Материал: pvc
Конференц- и конгресс-системы,Цвет: белый
Конференц- и конгресс-системы,Высота: 254
Пленка для ламинирования,Количество в упаковке: 100
Пленка для ламинирования,Цвет: прозрачный
Пленка для ламинирования,Цвет: бесцветный
Пленка для ламинирования,Цвет: белый
Пленка для ламинирования,Цвет: синий
Пленка для ламинирования,Страна: китай
Пленка для ламинирования,Длина: 10
Пленка для ламинирования,Цвет: слоновая кость
Пленка для ламинирования,Цвет: дымчатый
Пленка для ламинирования,Цвет: прозрачный синий
Пленка для ламинирования,Цвет: глянцевая
Пленка для ламинирования,Материал: пвх
Накопители данных внутренние,Ширина: 101
Накопители данных внутренние,Объем: 500000
Накопители данных внутренние,Страна: тайвань
Накопители данных внутренние,Высота: 26
Накопители данных внутренние,Длина: 147
Устройства усилительно-акустические,Материал корпуса: алюминий
Устройства усилительно-акустические,Сопротивление: 100
Устройства усилительно-акустические,Сопротивление: 47
Устройства усилительно-акустические,Цвет: черный
Устройства усилительно-акустические,Сопротивление: 20
Устройства усилительно-акустические,Материал корпуса: металл
Устройства усилительно-акустические,Материал корпуса: пластик
Устройства усилительно-акустические,Цвет: серый
Системный блок,Цвет: черный
Системный блок,Процессор: core i5
Системный блок,Процессор: intel
Системный блок,Процессор: ryzen 3
Системный блок,Страна: россия
Системный блок,Страна: китай
Системный блок,Цвет: серый
Системный блок,Процессор: intel pentium gold g5420
Системный блок,Тип матрицы: ips
Системный блок,Цвет: серебристый
Системный блок,Процессор: rtx 4000
Системный блок,Разрешение: 1920
Киоски информационные (инфоматы),Ширина: 110
Киоски информационные (инфоматы),Ширина: 17
Киоски информационные (инфоматы),Процессор: intel celeron
Киоски информационные (инфоматы),Ширина: 50
Пластик для 3D-принтеров,Материал: pla
Пластик для 3D-принтеров,Цвет: черный
Пластик для 3D-принтеров,Материал: abs
Пластик для 3D-принтеров,Материал: petg
Пластик для 3D-принтеров,Цвет: фиолетовый
Пластик для 3D-принтеров,Цвет: флуоресцентный
Пластик для 3D-принтеров,Цвет: серый
Пластик для 3D-принтеров,Цвет: синий
Пластик для 3D-принтеров,Цвет: голубой
Люверсы металлические,Цвет: серый
Люверсы металлические,Цвет: серебристый
Люверсы металлические,Цвет: серебряный
Люверсы металлические,Материал: оцинкованная сталь
Магниты для досок,Материал: пластик
Магниты для досок,Материал: пластик/магнит
Магниты для досок,Страна: китай
Магниты для досок,Цвет: магнита:синий
Магниты для досок,Цвет: магнита:желтый
Магниты для досок,Материал: неодим/никелированная сталь
Магниты для досок,Материал: винил
Магниты для досок,Материал: неодим
Магниты для досок,Количество в упаковке: 12
Магниты для досок,Материал: магнит
Магниты для досок,Цвет: магнита:ассорти
Магниты для досок,Цвет: 493 серый
Центры музыкальные,Материал: диска:алюминий
Центры музыкальные,Материал: стола:мдф
Центры музыкальные,Материал: тонарма:алюминий
Центры музыкальные,Материал: диска:акрил
Центры музыкальные,Материал: стола:акрил
Центры музыкальные,Материал: тонарма:карбон
Центры музыкальные,Материал: диска:стекло
Центры музыкальные,Материал: диска:мдф
Центры музыкальные,Материал: стола:пластмасса
Центры музыкальные,Материал: диска:пластмасса
Центры музыкальные,Материал: стола:дерево
Центры музыкальные,Материал: стола:сталь
Системы хранения данных дисковые сетевые,Длина: 230
Системы хранения данных дисковые сетевые,Ширина: 34
Системы хранения данных дисковые сетевые,Высота: 140
Системы хранения данных дисковые сетевые,Цвет: черный
Средства дезинсекционные,Объем: 100
Средства дезинсекционные,Объем: 50
Средства дезинсекционные,Объем: 1000
Средства дезинсекционные,Объем: 150
Средства дезинсекционные,Объем: 21
Сканеры,Разрешение: 600x600
Сканеры,Разрешение: 1200x1200
Сканеры,Разрешение: 300x300
Сканеры,Разрешение: 400x400
Сканеры,Цвет: черный
Сканеры,Разрешение: 600x1200
Сканеры,Разрешение: 300x600
Сканеры,Разрешение: 800x800
Шкафы телекоммуникационные,Ширина: 600
Шкафы телекоммуникационные,Цвет: серый
Шкафы телекоммуникационные,Цвет: черный
Шкафы телекоммуникационные,Ширина: 800
Шкафы телекоммуникационные,Цвет: серый ral 7035
Шкафы телекоммуникационные,Материал: сталь
Шкафы телекоммуникационные,Материал: металл
Шкафы телекоммуникационные,Материал: двери:металл
Шкафы телекоммуникационные,Ширина: 599
Шкафы телекоммуникационные,Материал: изделия:металл
Средства для обработки воды в бассейнах,Объем: 30
Средства для обработки воды в бассейнах,Объем: 20
Средства для обработки воды в бассейнах,Количество в упаковке: 10
Средства для обработки воды в бассейнах,Объем: 10
Средства для обработки воды в бассейнах,Объем: 1000
Средства для обработки воды в бассейнах,Количество  в упаковке: 10
Средства для обработки воды в бассейнах,Объем: 25
Телефоны микросотовые,Цвет: подсветки
Телефоны микросотовые,Цвет: черный
Телефоны микросотовые,Цвет: серый
Телефоны микросотовые,Цвет: черный/серый
Телефоны микросотовые,Цвет: серебристый
Телефоны микросотовые,Цвет: серебристый металлик
Телефоны микросотовые,Цвет: белый
Телефоны микросотовые,Цвет: темно-серый
Телефоны микросотовые,Цвет: черный/серебристый
Телефоны микросотовые,Материал корпуса: трубки:пластик
Телефоны микросотовые,Материал корпуса: базы:пластик
Точилки для карандашей,Цвет: синий
Точилки для карандашей,Высота: 40
Точилки для карандашей,Цвет: розовый
Точилки для карандашей,Страна: китай
Точилки для карандашей,Цвет: зеленый
Точилки для карандашей,Цвет: черный
Точилки для карандашей,Цвет: голубой
Точилки для карандашей,Ширина: 10
Точилки для карандашей,Цвет: серый
Точилки для карандашей,Цвет: фиолетовый
Точилки для карандашей,Материал корпуса: пластик
Точилки для карандашей,Цвет: салатовый
Накопители твердотельные в формате флеш-карты,Материал корпуса: пластик
Накопители твердотельные в формате флеш-карты,Страна: тайвань
Накопители твердотельные в формате флеш-карты,Страна: китай
Накопители твердотельные в формате флеш-карты,Объем: 64
Накопители твердотельные в формате флеш-карты,Цвет: серый
Накопители твердотельные в формате флеш-карты,Длина: 32
Накопители твердотельные в формате флеш-карты,Цвет: серебристый
Накопители твердотельные в формате флеш-карты,Материал корпуса: металл
Накопители твердотельные в формате флеш-карты,Высота: 24
Накопители твердотельные в формате флеш-карты,Объем: 16
Накопители твердотельные в формате флеш-карты,Объем: 256
Комплектующие для сетей и систем связи,Цвет: черный
Комплектующие для сетей и систем связи,Материал проводника: медь
Комплектующие для сетей и систем связи,Цвет: кабеля:черный
Комплектующие для сетей и систем связи,Материал: внешней
Комплектующие для сетей и систем связи,Длина: 305
Комплектующие для сетей и систем связи,Материал: жилы:медь
Комплектующие для сетей и систем связи,Материал: оболочки
Комплектующие для сетей и систем связи,Цвет: серый
Комплектующие для сетей и систем связи,Цвет: внешней
Комплектующие для сетей и систем связи,Материал: пластик
Комплектующие для сетей и систем связи,Материал: изоляции:полиэтилен
Комплектующие для сетей и систем связи,Длина кабеля: 305
Штемпели,Цвет: синий
Штемпели,Материал корпуса: пластик
Штемпели,Материал: клише:резина
Штемпели,Цвет: черный
Штемпели,Материал: изготовления штемпельной
Штемпели,Материал корпуса: металл
Штемпели,Цвет: сменной
Штемпели,Цвет: краски:синий
Штемпели,Цвет: серебристый
Штемпели,Материал: клише:резиновое
Штемпели,Цвет: даты:синий
Штемпели,Материал: высококачественная резина
Экраны для проекторов,Страна: китай
Экраны для проекторов,Цвет экрана: матовый белый
Экраны для проекторов,Материал: полотна:matte white
Экраны для проекторов,Диагональ: 131
Экраны для проекторов,Материал: сталь
Экраны для проекторов,Материал: полотна:стекловолокно
